Dateibezeichnung,URL,Lizenz,Format,Quelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Verwaltung,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert
BPläne OG Appenheim - Ebene: Vor dem Klopp (5.0),http://www.daten.rlp.de/dataset/01c68181-32fb-471a-a824-fa2493fd2d20,,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
BPläne OG Appenheim - Ebene: Vor dem Klopp II (10.0_1),http://www.daten.rlp.de/dataset/3879073c-09b8-42bc-8dee-bdd04dd6ad05,,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
BPläne OG Appenheim - Ebene: Im Brühel (11.0),http://www.daten.rlp.de/dataset/abeecc55-9b21-49b9-a6c1-5bb4e68b2298,,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
BPläne OG Appenheim - Ebene: Brühl (12.0),http://www.daten.rlp.de/dataset/1849dda6-f9ed-42dd-a64a-e852e35f6b09,,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
BPläne OG Appenheim - Ebene: Auf den Kellern - 1. Änderung (9.1_2),http://www.daten.rlp.de/dataset/1dad24c4-3156-40b2-8045-4ce56b0b0973,,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
BPläne OG Appenheim - Ebene: Auf den Kellern - 1. Änderung (9.1_1),http://www.daten.rlp.de/dataset/da800452-f91a-4c8d-871f-f1eb44c41bd0,,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
BPläne OG Appenheim - Ebene: Im Mühlweg - Änderung (4.2),http://www.daten.rlp.de/dataset/b989b0fb-dba8-44b9-89cf-46eb8337689f,,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
BPläne OG Appenheim - Ebene: Am Sportplatz (2.0),http://www.daten.rlp.de/dataset/2e4b0cf4-9d6a-43f1-a87e-3c77fff60674,,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
BPläne OG Appenheim - Ebene: Am Welzbach - 1. vereinfachte Änderung (1.1),http://www.daten.rlp.de/dataset/d7e83ac5-48db-4077-9689-973a4278dada,,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
BPläne OG Appenheim - Ebene: Am Wethbach (3.0),http://www.daten.rlp.de/dataset/128ba6b2-76bc-4170-aa53-529115913b3e,,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
