Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,,,x,,,,Jahresabschluss - Produkte 2010,http://www.arnsberg.de/open-data/haushalt/jahresabschluesse/ergebnisrechnung/produkte/Jahresabschluss_Produkte_2010.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,,,x,,Abfallkalender 2014 - Abfuhrtermine,http://www.arnsberg.de/open-data/abfall/abfuhrtermin_abfallkalender.ics,dl-de-zero-2.0,ICS,d
,,,,,,,,,,,,,,x,,Glascontainer-Standorte,http://www.arnsberg.de/open-data/gis/glascontainer.json,dl-de-zero-2.0,JSON,d
x,,,,,,,,,,,,,,,,"Einwohnerzahlen nach Alter, Geschlecht und Nationalität",http://www.arnsberg.de/open-data/bevoelkerung/Altersauswertung_Stadtgebiet_Nationalitaet_20140628.csv,dl-de-zero-2.0,CSV,d
,,x,,,,,,,,,,,,,,Außenbereichssatzung,http://www.arnsberg.de/open-data/gis/Aussenbereichssatzung.json,dl-de-zero-2.0,JSON,d
,,x,,,,,,,,,,,,,,"Bebauungspläne, Änderungen von rechtskräftigen",http://www.arnsberg.de/open-data/gis/rechtskraeftige_BPlan_Aenderungen.json,dl-de-zero-2.0,JSON,d
,,x,,,,,,,,,,,,,,"Bebauungspläne, rechtskräftige",http://www.arnsberg.de/open-data/gis/rechtskraeftige_BPlaene.json,dl-de-zero-2.0,JSON,d
,,x,,,,,,,,,,,,,,Behörden,http://www.arnsberg.de/open-data/gis/behoerden.json,dl-de-zero-2.0,JSON,d
,,x,,,,,,,,,,,,,,Innenbereichssatzung,http://www.arnsberg.de/open-data/gis/Innenbereichssatzung.json,dl-de-zero-2.0,JSON,d
,,x,,,,,,,,,,,,,,Kindergärten,http://www.arnsberg.de/open-data/gis/kindergaerten.json,dl-de-zero-2.0,JSON,d
,,x,,,,,,,,,,,,,,Schulen,http://www.arnsberg.de/open-data/gis/schulen.json,dl-de-zero-2.0,JSON,d
,,x,,,,,,,,,,,,,,Sportanlagen,http://www.arnsberg.de/open-data/gis/sportanlagen.json,dl-de-zero-2.0,JSON,d
,,,,,x,,,,,,,,,,,Straßen in Arnsberg,http://www.arnsberg.de/open-data/bauen/Strassenliste.csv,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Bilanz 31.12.2013,http://www.arnsberg.de/open-data/haushalt/bilanzen/Bilanz_31.12.2013.csv,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Bilanz 31.12.2012,http://www.arnsberg.de/open-data/haushalt/bilanzen/Bilanz_31.12.2012.csv,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Bilanz 31.12.2011,http://www.arnsberg.de/open-data/haushalt/bilanzen/Bilanz_31.12.2011.csv,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Bilanz 31.12.2010,http://www.arnsberg.de/open-data/haushalt/bilanzen/Bilanz_31.12.2010.csv,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Bilanz 31.12.2009,http://www.arnsberg.de/open-data/haushalt/bilanzen/Bilanz_31.12.2009.csv,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Bilanz 31.12.2008,http://www.arnsberg.de/open-data/haushalt/bilanzen/Bilanz_31.12.2008.csv,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung 2018,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/gesamt/Haushaltsplanung_2018.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung 2017,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/gesamt/Haushaltsplanung_2017.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung 2016,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/gesamt/Haushaltsplanung_2016.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung 2015,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/gesamt/Haushaltsplanung_2015.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung 2014,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/gesamt/Haushaltsplanung_2014.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung - Produktbereiche 2018,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/produktbereiche/Haushaltsplanung_PB_2018.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung - Produktbereiche 2017,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/produktbereiche/Haushaltsplanung_PB_2017.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung - Produktbereiche 2016,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/produktbereiche/Haushaltsplanung_PB_2016.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung - Produktbereiche 2015,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/produktbereiche/Haushaltsplanung_PB_2015.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung - Produktbereiche 2014,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/produktbereiche/Haushaltsplanung_PB_2014.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung - Produkte 2018,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/produkte/Haushaltsplanung_Produkte_2018.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung - Produkte 2017,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/produkte/Haushaltsplanung_Produkte_2017.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung - Produkte 2016,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/produkte/Haushaltsplanung_Produkte_2016.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung - Produkte 2015,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/produkte/Haushaltsplanung_Produkte_2015.CSV,dl-de-zero-2.0,CSV,d
,,,,,,,,,,,,x,,,,Haushaltsplanung - Produkte 2014,http://www.arnsberg.de/open-data/haushalt/haushaltsplanung/ergebnisplanung/produkte/Haushaltsplanung_Produkte_2014.CSV,dl-de-zero-2.0,CSV,d
