Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,,,x,,,,Zukunftsinvestitionsprogramm,http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=21,other-closed,PDF,d
,x,,,,,,,,,,,,,,,Zweiter Bildungsbericht,http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=23,other-closed,PDF,d
,x,,,,,x,,,,,,,,,,Ergebnisse,"http://www.km-bw.de/LIS,Lde/Ergebnisse",nicht bekannt,XLS,c
,,,,,,,,,,,,x,,,,Abgeordnete im 15. Landtag,http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=28,other-closed,CSV,d
,,,,,,,,,,,,,x,,,Agrarstrukturdaten,http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=37,other-closed,XLS,d
,,,,,,,,,,,,,x,,,Akademikeranteil an den Beschäftigten,http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=36,CC BY 3.0 DE,HTML,d
,x,,,,,,,,,,,,,,,"Allgemeinbildende Schulen, Schuljahr 1995/1996",http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=71,CC BY 3.0 DE,CSV,d
,x,,,,,,,,,,,,,,,"Allgemeinbildende Schulen, Schuljahr 2000/2001",http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=72,CC BY 3.0 DE,CSV,d
,x,,,,,,,,,,,,,,,"Allgemeinbildende Schulen, Schuljahr 2005/2006",http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=73,CC BY 3.0 DE,CSV,d
,x,,,,,,,,,,,,,,,"Allgemeinbildende Schulen, Schuljahr 2010/2011",http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=25,CC BY 3.0 DE,PDF,d
,x,,,,,,,,,,,,,,,"Allgemeinbildende Schulen, Schuljahr 2010/2011",http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=74,CC BY 3.0 DE,CSV,d
,,,,,,,,,x,,,,,,,Automatische Straßenverkehrszählung,http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=43,other-closed,PDF,d
,,,,,,x,,,,,,,,,,Beherbergungen im Reiseverkehr,http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=39,CC BY 3.0 DE,PDF,d
x,,,,,,,,,,,,,,,,Bevölkerung,http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=51,CC BY 3.0 DE,CSV,d
x,,,,,,,,,,,,,,,,Bevölkerung,http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=52,CC BY 3.0 DE,CSV,d
x,,,,,,,,,,,,,,,,Bevölkerung,http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=53,CC BY 3.0 DE,CSV,d
,,,,,,,,,,,,,x,,,Digital Natives,http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=38,other-closed,PDF,d
,,,,,,,,,,,,,x,,,"Erwerbstätigkeitsstruktur, 2002-2009",http://opendata.service-bw.de/Seiten/offenedatendetail.aspx?mdid=35,CC BY 3.0 DE,PDF,d
