Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,x,,,,x,,,,,,,,Gesundheitsberichterstattung Berlin: Kontext Basisbericht GBE Berlin 2003/2004,http://www.gsi-berlin.info/gsi_odp.asp?seite=1&CBFest=Kontext&kontext=Basisbericht GBE Berlin 2003/2004,nicht bekannt,HTML,d
,,,,,,x,,,,,,,,,,Sportvereine und Sportangebote in Marzahn-Hellersdorf,http://www.berlin.de/ba-marzahn-hellersdorf/verwaltung/bildung/sport/sportvereine/,nicht bekannt,"HTML,JSON,XML,XLS,CSV",d
,,,,x,,,,x,,,,,,,,Gesundheitsberichterstattung Berlin: Gesundheitszustand der Bevölkerung -> Allgemeine Mortalität,"http://www.gsi-berlin.info/gsi_odp.asp?seite=1&CBFest=Kategorie,Bereich,Thema,Unterthema&kategorie=Gesundheitsdaten&bereich=Gesundheitszustand der Bevölkerung&thema=Allgemeine Mortalität&unterthema=Allgemeine Mortalität",nicht bekannt,HTML,d
,,,,x,,,,x,,,,,,,,"Gesundheitsberichterstattung Berlin: Gesundheitsindikator 3.40 - Rentenzugänge und -bestand wegen verminderter Erwerbsfähigkeit nach Geschlecht, Land im Regionalvergleich, Jahr L",http://www.gsi-berlin.info/gsi_odp.asp?seite=1&CBFest=Indikator&indikator=3.40,nicht bekannt,HTML,d
,,,,x,,,,x,,,,,,,,Sozialstatistisches Berichtswesen Berlin: Spezialberichte -> Sozialhilfeempfängerprognoseverfahren,"http://www.gsi-berlin.info/gsi_odp.asp?seite=1&CBFest=Kategorie,Bereich,Thema,Unterthema&kategorie=Berichte&bereich=SBW&thema=Spezialberichte&unterthema=Sozialhilfeempfängerprognoseverfahren",nicht bekannt,HTML,d
,,,,x,,,,x,,,,,,,,Gesundheitsberichterstattung Berlin : Spezialberichte -> Krebs,"http://www.gsi-berlin.info/gsi_odp.asp?seite=1&CBFest=Kategorie,Bereich,Thema,Unterthema&kategorie=Berichte&bereich=GBE&thema=Spezialberichte&unterthema=Krebs",nicht bekannt,HTML,d
,,,,x,,,,x,,,,,,,,Sozialstatistisches Berichtswesen Berlin: Asylbewerberleistungsgesetz - AsylbLG -> Asylbewerber/innen -> Empfänger/innen und Bedarfsgemeinschaften,"http://www.gsi-berlin.info/gsi_odp.asp?seite=1&CBFest=Kategorie,Bereich,Thema,Unterthema&kategorie=Sozialdaten&bereich=Asylbewerberleistungsgesetz - AsylbLG&thema=Asylbewerber/innen&unterthema=Empfänger/innen und Bedarfsgemeinschaften",nicht bekannt,HTML,d
,,,,x,,,,x,,,,,,,,Gesundheitsberichterstattung Berlin: Gesundheitszustand der Bevölkerung -> Allgemeine Morbidität -> Rentenzugänge und -bestand wegen verminderter Erwerbsfähigkeit,"http://www.gsi-berlin.info/gsi_odp.asp?seite=1&CBFest=Kategorie,Bereich,Thema,Unterthema&kategorie=Gesundheitsdaten&bereich=Gesundheitszustand der Bevölkerung&thema=Allgemeine Morbidität&unterthema=Rentenzugänge und -bestand wegen verminderter Erwerbsfähigkeit",nicht bekannt,HTML,d
,,,,x,,,,x,,,,,,,,"Gesundheitsberichterstattung Berlin: Gesundheitsindikator 3.13 - Vermeidbare Sterbefälle nach ausgewählten Diagnosen und Geschlecht, Land, Jahr L",http://www.gsi-berlin.info/gsi_odp.asp?seite=1&CBFest=Indikator&indikator=3.13,nicht bekannt,HTML,d
,,,,x,,,,x,,,,,,,,Gesundheitsberichterstattung Berlin: Ausgaben und Finanzierung -> Gesundheitsausgaben nach Ausgabenträgern und Leistungsarten -> weitere Ausgabenträger,"http://www.gsi-berlin.info/gsi_odp.asp?seite=1&CBFest=Kategorie,Bereich,Thema,Unterthema&kategorie=Gesundheitsdaten&bereich=Ausgaben und Finanzierung&thema=Gesundheitsausgaben nach Ausgabenträgern und Leistungsarten&unterthema=weitere Ausgabenträger",nicht bekannt,HTML,d
