Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
x,,,,,,,,,,,,x,,,,Einwohnermeldeämter,http://opendata.bonn.de/dataset/einwohnermelde%C3%A4mter,CC0-1.0,"XLSX,CSV",d
,,,,,,,,,,,,x,,,,Beteiligungsbericht 2013,http://opendata.bonn.de/dataset/beteiligungsbericht-2013,dl-de-by-1.0,HTML,d
x,x,,,,,x,,x,,,,,,,,Stadtbibliothek,http://opendata.bonn.de/dataset/stadtbibliothek,dl-de-by-1.0,HTML,d
,,,,,,,x,,,,,,,,,Bundestagswahl 2013,http://opendata.bonn.de/dataset/bundestagswahl-2013,dl-de-by-1.0,CSV,d
,,,,,,,,,,,,,x,,,Büroflächenpreise,http://opendata.bonn.de/dataset/b%C3%BCrofl%C3%A4chenpreise,dl-de-by-1.0,CSV,d
x,,,,,,,,x,,x,,,,,,Fair Trade Einkaufsführer,http://opendata.bonn.de/dataset/fair-trade-einkaufsf%C3%BChrer,dl-de-by-1.0,"PDF,CSV,XLS",d
x,x,,x,x,x,x,x,x,x,x,x,x,x,,,Bürgeranträge gem. § 24 GO NRW,http://opendata.bonn.de/dataset/b%C3%BCrgerantr%C3%A4ge-gem-%C2%A7-24-go-nrw,dl-de-by-1.0,HTML,d
,,,,,x,,,,x,,,,,,,Kennzahlen Stadtentwässerung,http://opendata.bonn.de/dataset/kennzahlen-stadtentw%C3%A4sserung,dl-de-by-1.0,CSV,d
,,,,,x,,,,,x,,x,,,,Energieberichte,http://opendata.bonn.de/dataset/energieberichte,dl-de-by-1.0,"DOC,PDF",d
x,,,,,,,,,,,,,,,,Eintragungen in das Goldene Buch der Stadt Bonn,http://opendata.bonn.de/dataset/eintragungen-das-goldene-buch-der-stadt-bonn,dl-de-by-1.0,DOC,d
,,,,,,,,,x,x,,,x,,,Bilder der Stadtwerke Bonn,http://opendata.bonn.de/dataset/bilder-der-stadtwerke-bonn,dl-de-by-1.0,HTML,d
,,,,,,x,,,,,,,,,,Beethoven in Bonn,http://opendata.bonn.de/dataset/beethoven-bonn,dl-de-by-1.0,DOCREADER,d
x,,,,,,,,,,,,,,,,Monitoring Ausbau U3 Betreuungsplätze,http://opendata.bonn.de/dataset/monitoring-ausbau-u3-betreuungspl%C3%A4tze,dl-de-by-1.0,PDF,d
,,,,,x,,,,x,,,,,,,Geschäftsbericht Tiefbauamt 2013,http://opendata.bonn.de/dataset/gesch%C3%A4ftsbericht-tiefbauamt-2013,dl-de-by-1.0,PDF,d
,,,,,,,x,,,,,,,,,Europawahl 2014,http://opendata.bonn.de/dataset/europawahl-2014,dl-de-by-1.0,CSV,d
x,,,,,x,,,,x,,,x,,,,Bürgerbriefe,http://opendata.bonn.de/dataset/b%C3%BCrgerbriefe,dl-de-by-1.0,JSON,d
,,,,,,,,,x,x,,,x,,,Ausschreibungen,http://opendata.bonn.de/dataset/ausschreibungen,dl-de-by-1.0,HTML,d
x,,,,,,,,,,,,,,,,Bevölkerungsentwicklung,http://opendata.bonn.de/dataset/bev%C3%B6lkerungsentwicklung,dl-de-by-1.0,"CSV,HTML",d
,,,,,,,,,,,,x,,,,Controllingberichte Haushalt 2013,http://opendata.bonn.de/dataset/controllingberichte-haushalt-2013,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,Bonn in den Städterankings 2012,http://opendata.bonn.de/dataset/bonn-den-st%C3%A4dterankings-2012,dl-de-by-1.0,DOCREADER,d
,,,,,,,,,,,,x,,,,Haushaltsplan 2015 2016,http://opendata.bonn.de/dataset/haushaltsplan-2015-2016,dl-de-by-1.0,"PDF,XLSX,CSV,DOC",d
,,,,,,,,,x,,,,,,,Kundendialog Stadtwerke Bonn Bus und Bahn,http://opendata.bonn.de/dataset/kundendialog-stadtwerke-bonn-bus-und-bahn,dl-de-by-1.0,PDF,d
x,x,,,x,x,x,x,x,x,,x,x,x,,,Veranstaltungskalender (Komplettübersicht),http://opendata.bonn.de/dataset/veranstaltungskalender-komplett%C3%BCbersicht,dl-de-by-1.0,JSON,d
,,,,,,,,,x,x,,,x,,,Kennzahlen der Stadtwerke Bonn,http://opendata.bonn.de/dataset/kennzahlen-der-stadtwerke-bonn,dl-de-by-1.0,PDF,d
,,,,,,,x,,,,,,,,,"Kommunalwahl 2014 (Rat, Bezirksvertretung)",http://opendata.bonn.de/dataset/kommunalwahl-2014-rat-bezirksvertretung,dl-de-by-1.0,CSV,d
,,,x,,x,,,,,,,,,,,Berlin Bonn Gesetz - Die Umsetzung,http://opendata.bonn.de/dataset/berlin-bonn-gesetz-die-umsetzung,dl-de-by-1.0,DOCREADER,d
,,,,,,,x,,,,,,,,,Europawahl 2004,http://opendata.bonn.de/dataset/europawahl-2004,dl-de-by-1.0,XLS,d
,,,,,,,x,,,,,,,,,Kommunalwahl 2004,http://opendata.bonn.de/dataset/kommunalwahl-2004,dl-de-by-1.0,XLS,d
,,,,,,,,,,,,x,,,,Open Data (Datensatzwunschliste),http://opendata.bonn.de/dataset/open-data-datensatzwunschliste,dl-de-by-1.0,XLSX,d
,,,,,,,,,,,,,x,,,Verfügbarkeit ausgewählter Gewerbeflächen,http://opendata.bonn.de/dataset/verf%C3%BCgbarkeit-ausgew%C3%A4hlter-gewerbefl%C3%A4chen,dl-de-by-1.0,CSV,d
,,,,,,,,,,,,x,,,,Pressemitteilungen Stadt Bonn,http://opendata.bonn.de/dataset/pressemitteilungen-stadt-bonn,dl-de-by-1.0,JSON,d
