Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Ober-Ermeserhahn-West 2. Änderung,http://www.daten.rlp.de/dataset/920237e7-f4ac-402a-9b35-65d006722ace,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Hellerwald 1. Änderung,http://www.daten.rlp.de/dataset/e9afbc11-ef22-4f28-a243-714d5248d29c,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Flogt,http://www.daten.rlp.de/dataset/6a09204e-e098-4e96-8975-448e1a917214,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Im Bungart,http://www.daten.rlp.de/dataset/94b3d8d0-5293-4d2b-8d5d-d146441702cd,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Ober-Ermeserhahn-Ost 1. Änderung,http://www.daten.rlp.de/dataset/57cfcf8b-8bff-49ea-ac9f-fca6bae8a63e,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Am Schäffersweyer II,http://www.daten.rlp.de/dataset/392ceeb6-0c43-46fc-95d5-867975df3cec,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Am Schäffersweyer II 2. Änderung,http://www.daten.rlp.de/dataset/cc4844eb-0098-4723-89f6-9ad0f384e881,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Schul- u. Sportzentrum,http://www.daten.rlp.de/dataset/183924cf-6e11-42c5-88fb-b48ff68fa8f5,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Hospital,http://www.daten.rlp.de/dataset/e08aeac2-2aa4-4755-ad99-311d83945dc0,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Sportzentrum,http://www.daten.rlp.de/dataset/720aa115-f4c2-4a61-8e7e-d6df9eeeaef8,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Grünfläche Zeil,http://www.daten.rlp.de/dataset/f159e664-b2e7-41a4-ba34-c18a785d9c14,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Auf dem Ellig,http://www.daten.rlp.de/dataset/e7ca99ca-43f3-4ec4-a16d-f04d427b3258,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Verlängerte Parkstraße,http://www.daten.rlp.de/dataset/e136ebe0-956a-4b67-b43b-5b10c8cf014a,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Unten in der Aab,http://www.daten.rlp.de/dataset/34eb1bf5-2a1f-40e1-81ef-f74f4e12d822,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,"Boppard - Ebene: Oberstraße, Kirchgasse, Angertstraße, Mergstraße",http://www.daten.rlp.de/dataset/a022ac8d-7ede-447a-a5c0-ca2a4984dc19,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: Sportplatz Buchenau 1. Änderung,http://www.daten.rlp.de/dataset/8d92b81a-dd35-4592-afd0-35443ee2a49f,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Boppard - Ebene: In den Krummenstücken,http://www.daten.rlp.de/dataset/db96799f-383c-4d48-9012-552acee2fc70,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
