Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,,,x,,,,Arbeitsplatzkosten,http://finanzen.bremen.de/sixcms/media.php/13/Anlagen%202011.xls,nicht bekannt,XLS,g
,,,,,,x,,,,,,,,,,Parkbänke in öffentlichen Grünanlagen und auf kommunalen Friedhöfen in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.4424.de,cc-by,GML,d
x,,,,,,,,,,,,,,,,"Gestorbene nach Geschlecht, Staatsangehörigkeit und Altersgruppen in Bremen",http://daten.bremen.de/de/datensatz/bremen236.c.4422.de,cc-by,CSV,d
x,,,,,,,,,,,,,,,,Bevölkerung nach Altersjahren und Geschlecht,http://daten.bremen.de/de/datensatz/bremen236.c.4413.de,cc-by,CSV,d
,,,,,,,,,,,,,x,,,Unternehmensverbände in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8378.de,cc-by,XML,d
x,,,,,,,,,,,,,,,,Umlandwanderungen nach Herkunfts- bzw. Zielkreisen in Bremen (Bremer Umland),http://daten.bremen.de/de/datensatz/bremen236.c.4419.de,cc-by,CSV,d
,,,,,,x,,,,,,,,,,Spielplätze in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.4433.de,cc-by,CSV,d
,,,x,,,,,,,,,,,,,Gesetze und Rechtsverordnungen Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8261.de,cc-by,XML,d
x,,,,,,,,,,,,,,,,"Bevölkerung nach Migrationsstatus, Geschlecht und Altersgruppen",http://daten.bremen.de/de/datensatz/bremen236.c.4416.de,cc-by,CSV,d
x,,,,,,,,,,,,,,,,Wanderungen von Ausländern über Gemeindegrenzen der Stadt Bremen nach Geschlecht und Staatsangehörigkeitsgruppen,http://daten.bremen.de/de/datensatz/bremen236.c.4421.de,cc-by,CSV,d
,,,,x,,,,,,,,,,,,Rettungsdienste in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8223.de,cc-by,XML,d
,,x,,,x,,,,x,,,,,,,Straßenverzeichnis der Stadt Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8060.de,cc-by,XLS,d
x,,,,,,,,,,,,,,,,Innerstädtische Wanderungen nach Staatsangehörigkeit in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.4420.de,cc-by,CSV,d
x,,,,,,,,,,,,,,,,Vornamen (TOP 100 ) in Bremen 2007,http://daten.bremen.de/de/datensatz/bremen248.c.9559.de,cc-by,CSV,d
,,,,,,,,,,x,,,,,,"2000 (xls, 90.5 KB)",http://www.umwelt.bremen.de/sixcms/media.php/13/h00.xls,nicht bekannt,XLS,g
,,,,,,x,,,,,,,,,,Bremer-Philharmoniker-Sitzplatzauslastung-2005-2013,http://www.bremen.de/bremen-kompakt/bk-visualisierung/sitzplatzauslastung-der-bremer-philharmoniker-35802719,CC-BY-ND 3.0,CSV,c
,,,,,,,,,,x,,,,,,"1999 (xls, 114.5 KB)",http://www.umwelt.bremen.de/sixcms/media.php/13/h99.xls,nicht bekannt,XLS,g
,x,,,,,,,,,,,,,,,Schulen,http://www.bildung.bremen.de/sixcms/detail.php?gsid=bremen117.c.3714.de,nicht bekannt,XLS,c
,,,,,,,,,,,,,x,,,Laendervergleich-Veraenderungsrate-BIP-und-Erwerbstaetigkeit-2011-2012,http://www.bremen.de/bremen-kompakt/bk-visualisierung/vernderungsrate-des-bip-und-der-erwerbsttigkeit--35802708,CC-BY-ND 3.0,CSV,c
,,,,x,,,,x,,,,,,,,Pflegeeinrichtungen in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8196.de,cc-by,XML,d
,,,,,,,x,,,,,,,,,Bundestagswahl (Zweitstimmen),http://daten.bremen.de/de/datensatz/bremen236.c.4430.de,cc-by,CSV,d
x,,,,,,,,,,,,,,,,"Bevölkerung nach Geschlecht, Staatsangehörigkeit und Altersgruppen",http://daten.bremen.de/de/datensatz/bremen236.c.4415.de,cc-by,CSV,d
,,,,,,,,,,,,x,,,,Aktuelle Meldungen und Pressemitteilungen für das Jahr 2006,http://daten.bremen.de/de/datensatz/bremen236.c.8623.de,cc-by,XML,d
,,,,,,,,,,x,,,,,,Umrisspolygone der öffentlichen Grünanlagen in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.4427.de,cc-by,GML,d
,,,,,,,,,,,,x,,,,Zuwendungen in Bremen 2009/2010,http://daten.bremen.de/de/datensatz/bremen236.c.8332.de,other-closed,XLS,d
x,,,,,,,,,,,,,,,,Vornamen (TOP 100 ) in Bremen 2006,http://daten.bremen.de/de/datensatz/bremen248.c.9552.de,cc-by,CSV,d
,,,,,,,,,,x,,,,,,Abwasser (Einrichtungen) in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8139.de,cc-by,XML,d
,,,,,,,,x,,,,,,,,Sozialpädagogische Familienhilfen (Einrichtungen) in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8217.de,cc-by,XML,d
,,,,,,,,,,,,,x,,,Handelsverbände in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8396.de,cc-by,XML,d
x,,,,,,,,,,,,,,,,Vorausschätzung: Natürliche und räumliche Bevölkerungsbewegungen nach Geschlecht 2030 in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.4417.de,cc-by,CSV,d
,,,,,,,,,,,,x,,,,Offene Daten Bremen (Gesamtübersicht aller offenen Datensätze),http://daten.bremen.de/de/datensatz/bremen236.c.8249.de,cc-by,"JSON,XML",d
,,,,,,x,,,,,,,,,,Theater in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8076.de,cc-by,XML,d
,,,,,,,,,,,,x,,,,Abfall- und Recyclinghöfe in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8066.de,cc-by,XML,d
,,,,,,,,,,,,x,,,,Umrisspolygone der kommunalen Friedhöfe in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.4428.de,cc-by,GML,d
,,,,x,,,,,,,,,,,,AIDS-Beratungsstellen in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8340.de,cc-by,XML,d
,,,,,,x,,,,,,x,,,,Bürgerhäuser in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8121.de,cc-by,XML,d
,,,,x,,,,,,,,,,,,Mädchennotruf-Einrichtungen in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8181.de,cc-by,XML,d
,,,,,,,,,,,,,x,,,Wochenmärkte in Bremen,http://daten.bremen.de/de/datensatz/bremen236.c.8166.de,cc-by,XML,d
,,,,,,,,,,,,x,,,,Zugriffszahlen Internetauftritt seniorenlotse.bremen.de 2013,http://daten.bremen.de/de/datensatz/bremen248.c.11624.de,cc-by,CSV,d
,,,,,,,,,,,,x,,,,Aktuelle Meldungen und Pressemitteilungen für das Jahr 2002,http://daten.bremen.de/de/datensatz/bremen236.c.8631.de,cc-by,XML,d
