Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,x,,,,,,Indirekteinleiter Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62176,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Breitband DSL 2 MBITs Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=9bc7abcf-1da2-46a8-b714-0ea200187426,nicht bekannt,,d
,,,,,,,,,,,x,,,,,Tierabschusszahlen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=935584f1-dda2-42c3-a09a-f77fe70f3666,nicht bekannt,,d
,,,,,,,,x,,,,,,,,Krankenhäuser Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6237,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Fachkarte Planen und Bauen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=8d94997d-be80-4bac-8649-d02359967d52,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Topographische Karte 1:100.000 Farbe Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=5df273bc-83aa-4c30-be68-e40399dd4ce6,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Digitale Topographische Karte 1:1.000.000 Farbe Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=1f7191ef-737b-4776-ac56-ac3f90e0bcd2,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Gewässer 2. Ordnung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62171,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Digitale Topographische Karte 1:200.000 Farbe Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ddf0c47a-549d-418e-aaf1-3f5442e5e55c,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Gewässer 3. Ordnung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=e93b0c0e-ff38-4563-93bb-7f6d8193ddcb,nicht bekannt,,d
