Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,x,,,x,,,,,,,,,,,Hofgarten,http://www.duesseldorf.de/stadtgruen/park/hofgarten/index.shtml,nicht bekannt,KMZ,b
,,x,,,x,,,,,,,,,,,Friedhof Stoffeln,http://www.duesseldorf.de/stadtgruen/friedhof/stoffeln/index.shtml,nicht bekannt,KMZ,b
,,,,,,,x,,,,,,,,,Ratswahl 2009,https://www.duesseldorf.de/wahlen/download/kw09_amtl_erg_rat.xls,,XLS,g
,,,,,,,x,,,,,,,,,Ergebniss der Ratswahl 2009,http://www.duesseldorf.de/wahlen/download/kw09_amtl_erg_rat.xls,nicht bekannt,XLS,b
,,,,,,,x,,,,,,,,,Endgültige Ergebnisse der Bundestagswahl in Düsseldorf am 22. September 2013 - Zweitstimmen,http://www.duesseldorf.de/wahlen/download/bw_2013_stadtteile_zweitstimmen.xls,nicht bekannt,XLS,b
,,x,,,x,,,,,,,,,,,Japanischer Garten,http://www.duesseldorf.de/stadtgruen/park/nordpark/japanischer_garten.shtml,nicht bekannt,KMZ,b
,,x,,,x,,,,,,,,,,,Friedhof Heerdt,http://www.duesseldorf.de/stadtgruen/friedhof/heerdt.shtml,nicht bekannt,KMZ,b
,,x,,,x,,,,,,,,,,,Schlosspark Garath,http://www.duesseldorf.de/stadtgruen/park/schlosspark_garath.shtml,nicht bekannt,KMZ,b
,,x,,,x,,,,,,,,,,,Friedhof Gerresheim,http://www.duesseldorf.de/stadtgruen/friedhof/gerresheim.shtml,nicht bekannt,KMZ,b
,,x,,,x,,,,,,,,,,,Schlosspark Benrath,http://www.duesseldorf.de/stadtgruen/park/schlosspark_benrath/index.shtml,nicht bekannt,KMZ,b
,x,,,,,,,,,,,,,,,Heinrich Heine Gesamtschule Jahresterminplan 2012-13,http://schulen.duesseldorf.de/ge-grafreckestr/pics_hhg/Terminplan_2012_13.xls,,XLS,g
,,x,,,x,,,,,,,,,,,Routenverlauf 3,http://www.duesseldorf.de/verkehrsmanagement/pdf/routenverlauf3.kmz,nicht bekannt,KMZ,b
,,,,,,x,,,,,,,,,,Heinrich Heine Gesamtschule Jahresterminplan 2010-11,http://schulen.duesseldorf.de/ge-grafreckestr/pics_hhg/Terminplan_2010-11_Vers._10_08_30.xls,,XLS,g
,,x,,,x,,,,,,,,,,,Düsseldorfer Parkanlagen,http://www.duesseldorf.de/stadtgruen/kmz/duesseldorfer_parkanlagen.kmz,nicht bekannt,KMZ,b
,,x,,,x,,,,,,,,,,,Düsseldorfer Friedhöfe,http://www.duesseldorf.de/stadtgruen/friedhof/index.shtml,nicht bekannt,KMZ,b
,,x,,,x,,,,,,,,,,,Friedhof Unterrath,http://www.duesseldorf.de/stadtgruen/friedhof/unterrath.shtml,nicht bekannt,KMZ,b
,,,,,,,x,,,,,,,,,Ergebnisse der Bundestagswahl am 22. September 2013 in Düsseldorf - Erst- und Zweitstimmen,http://www.duesseldorf.de/wahlen/download/bw_2013_stimmbezirke.xls,nicht bekannt,XLS,b
,,x,,,x,,,,,,,,,,,3D-Stadtmodell,http://www.duesseldorf.de/umweltamt/download/abfall/container_google.kmz,nicht bekannt,KML,b
