Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,x,,,,,,Luftreinhaltung - Kenngrößen für Feinstaub an der Messstation WALS (Duisburg-Walsum),http://www.duisburg.de/umweltamt/umweltdaten/luftreinhaltung/feinstaub/jahreskenngroessen/wals/wals.xls,,XLS,g
,,,,,,x,,,,,,,,,,World Games 2005 - Bowling Tenpin - Mixed Doubles Game 3,http://www.duisburg.de/worldgames_archiv/infosystem/documents/243/Bowling%20Tenpin%20Mixed%20Game%203.xls,,XLS,g
,,,,,,x,,,,,,,,,,World Games 2005 - Bowling Tenpin - Mixed Doubles 6,http://www.duisburg.de/worldgames_archiv/infosystem/documents/245/Bowling%20tenpin%20mixed.6.xls,,XLS,g
,,,,,,x,,,,,,,,,,World Games 2005 - Bowling Tenpin - Mixed Doubles Game 1,http://www.duisburg.de/worldgames_archiv/infosystem/documents/239/Bowling%20Tenpin%20Mixed%20Game%201.xls,,XLS,g
,,,,,,x,,,,,,,,,,World Games 2005 - Bowling Tenpin - Mixed Doubles Game 2,http://duisburg.de/worldgames_archiv/infosystem/documents/241/Bowling%20Tenpin%20Mixed%20Game%202.xls,,XLS,g
,,,,,,,,,,x,,,,,,Luftreinhaltung - Kenngrößen für Feinstaub an der Messstation Meid (Duisburg-Meiderich),http://www.duisburg.de/umweltamt/umweltdaten/luftreinhaltung/feinstaub/jahreskenngroessen/meiderich/meiderich.xls,,XLS,g
x,,,,,,,,,,,,,,x,,World Games 2005 - Länderlisten,http://www.duisburg.de/worldgames_archiv/_upload/dokumentenverwaltung/WG-Laenderlisteen.xls,,XLS,g
,,,,,,x,,,,,,,,,,World Games 2005 - Bowling Tenpin - Mixed Doubles,http://www.duisburg.de/worldgames_archiv/infosystem/documents/242/Bowling%20Tenpin%20Mixed%20Doubles.xls,,XLS,g
,,,,,,x,,,,,,,,,,World Games 2005 - Bowling Tenpin - Mixed Doubles Runde 2 Durchgang 2,http://www.duisburg.de/worldgames_archiv/infosystem/documents/246/runde%202%20durchgang2.xls,,XLS,g
,,,,,,,,,,x,,,,,,Luftreinhaltung - Kenngrößen für Feinstaub an der Messstation DUUM (Duisburg-Untermeiderich),http://www.duisburg.de/umweltamt/umweltdaten/luftreinhaltung/feinstaub/jahreskenngroessen/duum/duum.xls,,XLS,g
,,,,,,,,,,x,,,,,,Luftreinhaltung - Jahresmittelwerte für Dioxin (PCDD/PCDF) und Polychlorierte Biphenyle (PCB) im Staubniederschlag,http://www.duisburg.de/umweltamt/umweltdaten/luftreinhaltung/dioxin/dioxin_daten4.xls,,XLS,g
,,,,,,x,,,,,,,,,,World Games 2005 - Bowling Tenpin - Mixed Doubles Durchgang 4,http://www.duisburg.de/worldgames_archiv/infosystem/documents/244/durchgang%204.xls,,XLS,g
,,,,,,,,,,x,,,,,,Luftreinhaltung - Kenngrößen für Feinstaub an der Messstation DUMA2 (Duisburg- Marxloh),http://www.duisburg.de/umweltamt/umweltdaten/luftreinhaltung/feinstaub/jahreskenngroessen/duma2/duma2.xls,,XLS,g
,,,,,,,,,,x,,,,,,Luftreinhaltung - Kenngrößen für Feinstaub an der Messstation DUBR (Duisburg- Bruckhausen,http://www.duisburg.de/umweltamt/umweltdaten/luftreinhaltung/feinstaub/jahreskenngroessen/dubr/dubr.xls,,XLS,g
,,,,,,x,,,,,,,,,,World Games 2005 - Bowling Tenpin - Mixed Doubles Game 4 und 5,http://www.duisburg.de/worldgames_archiv/infosystem/documents/240/Bowling%20Tenpin%20Mixed%204%20und%205.xls,,XLS,g
