Dateibezeichnung,URL,Lizenz,Format,Quelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Verwaltung,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert
Emmelshausen - Ebene: Auf der Galgenhöhe,http://www.daten.rlp.de/dataset/2800d537-e814-4f97-b0a7-8256b5d651a7,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Heilbrünnchen II 1. Änderung,http://www.daten.rlp.de/dataset/2fa75a3a-515e-49e5-a015-f04e0471888b,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Niedert - Ebene: Niedert,http://www.daten.rlp.de/dataset/7fe60a83-a3cf-4f60-97eb-e3557aaa3686,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Bickenbach - Ebene: Bickenbach,http://www.daten.rlp.de/dataset/9f1b0c27-23ba-42cd-abd6-6f75acc06df9,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Schul- und Sportzentrum 7. Änderung,http://www.daten.rlp.de/dataset/7ce3c578-572b-4a72-85a0-34ecba128f69,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Henchen II,http://www.daten.rlp.de/dataset/6a5bcae0-0f65-41d3-ab9d-1a761f021d5c,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Pfalzfeld - Ebene: Pfalzfeld,http://www.daten.rlp.de/dataset/711b6485-8ede-48a0-aa61-82590d8e23ab,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Gondershausen - Ebene: Gondershausen,http://www.daten.rlp.de/dataset/90c0b775-ddd8-4143-aa12-33b0818631bb,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Heilbrünnchen I 4. Änderung,http://www.daten.rlp.de/dataset/31a534fb-70ce-4b64-8c69-e1ae2f93e940,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Schul- und Sportzentrum,http://www.daten.rlp.de/dataset/f633991a-f984-497a-8bd7-1fb2aa185c5c,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Thörlingen - Ebene: Thörlingen,http://www.daten.rlp.de/dataset/54726e53-4314-426d-b1a6-851855b5d8c4,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Henchen II 2. Änderung,http://www.daten.rlp.de/dataset/99f3ee94-3848-4eee-aed7-b1a397e113d9,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Schul- und Sportzentrum 2. Änderung,http://www.daten.rlp.de/dataset/28c0e674-0217-43b7-ab58-ffdbedaa1468,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Unterdorf I,http://www.daten.rlp.de/dataset/0693c3c2-a3b3-4824-9d81-12edd49a5048,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Henchen II 1. Änderung,http://www.daten.rlp.de/dataset/72168ab1-06f8-4299-9ce7-f767bb83e2d0,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Schul- und Sportzentrum 1. Änderung,http://www.daten.rlp.de/dataset/52ec623d-5ea9-46a3-a4df-a77adf3d13c3,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Henchen II 3. Änderung,http://www.daten.rlp.de/dataset/62234362-c8d2-45b6-a447-5f922f04901b,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Klöppchen 1. Änderung,http://www.daten.rlp.de/dataset/bcb01c69-a7b4-4927-84da-a94c64b86922,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Henchen I 3. Änderung,http://www.daten.rlp.de/dataset/0619e13a-a090-4002-ad89-bf7275958864,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Dörth - Ebene: Dörth,http://www.daten.rlp.de/dataset/2411bb2f-cbb7-40a9-8b50-6d49bf154ff0,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Umringe der Bebauungspläne von Emmelshausen,http://www.daten.rlp.de/dataset/77f957a1-fbf3-4a4b-8c2a-944fc6170ba5,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Schwall - Ebene: Schwall,http://www.daten.rlp.de/dataset/3d2670a8-63ec-4f35-bc18-7eaf76ae7824,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Henchen I 7. Änderung,http://www.daten.rlp.de/dataset/61c8b042-1f19-457a-aa2c-d35f03469791,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Emmelshausen,http://www.daten.rlp.de/dataset/1e3c4a5c-1292-4d6d-8f5b-8b789c9c56ac,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Schwaller Dell,http://www.daten.rlp.de/dataset/35341d63-f9e5-4ac7-a666-f06787b4bb2c,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Hausbay - Ebene: Hausbay,http://www.daten.rlp.de/dataset/19d9d02d-6842-4fea-8386-1d98efe99fde,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Ney - Ebene: Ney,http://www.daten.rlp.de/dataset/298006de-a2ec-439f-b226-d4495abcb610,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Schul- und Sportzentrum 6. Änderung,http://www.daten.rlp.de/dataset/161c7213-f3f7-4243-a7a5-063889ba1691,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Leiningen - Ebene: Leiningen,http://www.daten.rlp.de/dataset/2099ba7a-bad8-4e84-82c9-990e508ddaf6,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Heilbrünnchen I 3. Änderung,http://www.daten.rlp.de/dataset/0845d649-e1d1-4a5b-8914-6e36e7788204,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Emmelshausen - Ebene: Am Kirchweg 1. Änderung,http://www.daten.rlp.de/dataset/c74f15ae-5310-4868-8914-0dd0ee9aa66d,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
