Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,,,x,,,,AG Haushalt 24.10.11,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/73f3af4bea4a0a49c1257bd600218add/$FILE/AG%20Haushalt%2024.10.11.xls,,XLS,g
,x,,,,,,,,,,,,,,,Grundschulübertritte 2009,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/aa6053b4c69882ecc1257bd600218d05/$FILE/Anlage%208%20Grundschul%C3%BCbertritte_2009.xls,,XLS,g
,x,,,,,,,,,,,,,,,Grundschulübertritte 2012,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/aa6053b4c69882ecc1257bd600218d05/$FILE/Anlage%202%20Grundschul%C3%BCbertritte_2012.xls,,XLS,g
,,,,,,,,,,,,x,x,,,Einnahmen-/ Ausgaben-Kalkulation 2007-2017,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/6b1661073ef51c2bc1257bd600218c5b/$FILE/2012-10-23%20Anlage%204-4.xls,,XLS,g
x,,,,,,,,,,,,,x,,,Chancengleichheit_2011.xls,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/92edbfb08b8157c2c1257bd6002189bc/$FILE/Chancengleichheit_2011.xls,,XLS,g
,x,,,,,,,,,,,,,,,Amtliche_Schulstatistik_10_11,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/aa6053b4c69882ecc1257bd600218d05/$FILE/Anlage%205%20Amtliche_Schulstatistik_10_11.xls,,XLS,g
,,,,,,,,x,,,,,x,,,Kostenberechnung - Erweiterung Kindertagesstätte Auenweg in Essl.-Mettingen,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/03c000ee5bb85c87c1257bd600218cb8/$FILE/KoBe%20Stand%2017.02.13.xls,,XLS,g
,x,,,,,,,,,,,,,,,Zahlen der zukünftigen Erstklässler 2013/14 bis 2018/19,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/f49ae23778d798d5c1257bd600218cfb/$FILE/Anlage%203.xls,,XLS,g
,x,,,,,,,,,,,,,,,Amtliche_Schulstatistik_09_10,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/67e05947609778ebc1257bd600218ae0/$FILE/Anlage%205%20Amtliche_Schulstatistik_09_10.xls,,XLS,g
,x,,,,,,,,,,,,,,,Amtliche_Schulstatistik_12_13,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/aa6053b4c69882ecc1257bd600218d05/$FILE/Anlage%201%20Amtliche_Schulstatistik_12_13.xls,,XLS,g
,x,,,,,,,,,,,,,,,Grundschulbetreuung Schuljahr 2012-13,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/7a69b269a2789d48c1257bd600218ba6/$FILE/Anlage%20zur%20Vorlage%20Grundschulbetreuung.xls,,XLS,g
,,,,,,x,,,,,,,,,,Aktivitäten und Besuche im Bereich Städtepartnerschaften und internationale Beziehungen in 2010,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/021dd7c656cf1ef3c1257bd600218af1/$FILE/Aktivit%C3%A4ten%202010.xls,,XLS,g
,,,,,,x,,,,,,,,,,Aktivitäten und Besuche im Bereich Städtepartnerschaften in 2009,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/021dd7c656cf1ef3c1257bd600218af1/$FILE/Aktivit%C3%A4ten%202009.xls,,XLS,g
,,,,,,,,,,,,x,,,,"Realisierung der Bedarfsplanung, Stand Juni 2012","http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/a297578056610dffc1257bd600218bba/$FILE/Anlage%201%20Realisierung%20der%20Bedarfsplanung,%20Stand%20Juni%202012.xls",,XLS,g
,,,,,,,,,,,,,x,,,Masterplan Maßnahmenübersicht 2010/11,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/960fedadf21f33b4c1257bd600218b35/$FILE/Masterplan%20Ma%C3%9Fnahmen%C3%BCbersicht.xls,,XLS,g
,,,,,,x,,,,,,,,,,Aktivitäten und Besuche im Bereich Städtepartnerschaften und internationale Beziehungen in 2010,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/021dd7c656cf1ef3c1257bd600218af1/$FILE/Jahresplanung%20%202011.xls,,XLS,g
,,,,,,,,,,,,,x,,,Wohnbau Stadt Esslingen GmbH - Wirtschaftsplan 2013,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/17cc415d799d589dc125784f00503445/00ac6e2458467fa2c1257bd600218c6e/$FILE/Wirtschaftsplan%202013.xls,,XLS,g
,,,,,,,,,,,,,x,,,Zuständigkeit Eigenbetriebe,http://ratsinfo.esslingen.de/ekomm/sitzung/ge_sourc.nsf/02b0d6d9b165d503c125784f00312c2c/e797c34695cdec9bc1257bd600218a97/$FILE/Zust%C3%A4ndigkeit%20Eigenbetriebe%20Anlage%204.xls,,XLS,g
