Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,x,,,,,,,,,,,,,,,"Datenkompass – Erziehung und Bildung, Landkreis Germersheim –",http://www.daten.rlp.de/dataset/db0ec31b-b1ec-4c1a-a8a6-5a56266d497c,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, VG-Ebene, Landkreis Germersheim -",http://www.daten.rlp.de/dataset/4712e91c-31fa-48c0-98dd-caaacd743df0,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaftliche Entwicklungspotenziale, Landkreis Germersheim –",http://www.daten.rlp.de/dataset/66da01c8-0a20-42cd-a19a-ad5bac9f00ba,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaft, Landkreis Germersheim –",http://www.daten.rlp.de/dataset/b6cfdf3e-564c-469e-9565-6652e53b1210,dl-de-by-1.0,PDF,d
,,,,,,x,,,,,,,,,,"Datenkompass – Tourismus, Landkreis Germersheim –",http://www.daten.rlp.de/dataset/fc3586e5-e8e7-4f61-9af4-070845ff3f8e,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, Landkreis Germersheim -",http://www.daten.rlp.de/dataset/b3d97dac-761a-4755-8ec7-2c58e42a4d56,dl-de-by-1.0,PDF,d
,,,,,,,,,x,,,,,,,Langzeitzählstelle auf der B 35 in Rheinbrücke Germersheim,http://www.daten.rlp.de/dataset/35af3037-91f2-4a64-8479-19a024048e59,dl-de-by-1.0,PDF,d
,,,,x,,,,x,,,,,,,,"Datenkompass – Soziales und Gesundheit, Landkreis Germersheim –",http://www.daten.rlp.de/dataset/2ff838e7-10af-4909-8aa3-5ea08cf8eb1d,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Arbeitsmarkt, Erwerbstätigkeit, Landkreis Germersheim –",http://www.daten.rlp.de/dataset/c4e95a4b-73a3-4795-b764-dc341ac0567b,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Datenkompass – Bevölkerung und Gebiet, Haushalte und Familien, Landkreis Germersheim –",http://www.daten.rlp.de/dataset/1de3fefa-6d6a-442e-9117-2a6b9fdddd61,dl-de-by-1.0,PDF,d
