Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,,,,,,x,Aktuelle Luftgütedaten und meteorologische Daten,https://www.govdata.de/daten/-/details/fb7a84fd-eb92-489a-9769-e6c3506bf908,dl-de-by-1.0,HTML,d
,,,,x,,,,,,,,,,,,"Luftschadstoffberechnungen: Stickstoffdioxid NO2 (Prognose 2015, zusätzl. Maßnahmen)",https://www.govdata.de/daten/-/details/b5814f69-f751-471d-9e49-2ad312f503c2,dl-de-by-1.0,"ZIP,WMS",d
,,,,,,,,,,,,,,,x,Datendienste der Luftüberwachung Niedersachsen,https://www.govdata.de/daten/-/details/501dfe63-60b7-4b0a-923d-97474c48ec26,dl-de-by-1.0,"XML,TXT,HTML",d
,,,,x,,,,,,,,,,,,Lärm: Strassenlärm Lden -day evening night- (Umgebungslärm),https://www.govdata.de/daten/-/details/e190d926-1e84-4df7-9a3c-34a431095fd7,dl-de-by-1.0,"ZIP,WMS",d
,,,,x,,,,,,,,,,,,Luftschadstoffberechnungen: PM10 Karten landesweit 2008 - 2012,https://www.govdata.de/daten/-/details/341f8848-c7d6-4db0-acaa-29be9a1780a3,dl-de-by-1.0,"ZIP,WMS",d
,,,,x,,,,,,,,,,,,Lärm: Lärmschutzbereiche Fluglärm,https://www.govdata.de/daten/-/details/cb0ecd1d-07e8-4a9a-8840-e8be092b9893,dl-de-by-1.0,"ZIP,WMS",d
,,,,x,,,,,,,,,,,,Luftschadstoffberechnungen: Stickstoffdioxid NO2 (Prognose 2015),https://www.govdata.de/daten/-/details/49fcbb9a-0b73-4a12-be26-4ac41ad95928,dl-de-by-1.0,"ZIP,WMS",d
,,,,x,,,,,,,,,,,,Luftschadstoffberechnungen: Umweltzonen,https://www.govdata.de/daten/-/details/a05dbd56-bfc1-4ae7-b0ad-37cdfcd21fb7,dl-de-by-1.0,"ZIP,WMS",d
,,,,x,,,,,,,,,,,,Luftschadstoffberechnungen für Städte: Feinstaub PM10 (Prognose 2015),https://www.govdata.de/daten/-/details/88d7ea1a-b423-4842-918f-f950f73caa8d,dl-de-by-1.0,"ZIP,WMS",d
,,,,x,,,,,,,,,,,,Meßstationen der Lufthygienischen Überwachung Niedersachsen (LÜN),https://www.govdata.de/daten/-/details/ad14d33f-b4b1-40eb-a069-dd580a474770,dl-de-by-1.0,"ZIP,WMS",d
,,,,x,,,,,,,,,,,,Lärm: Flugärm Lden -day evening night- (Umgebungslärm),https://www.govdata.de/daten/-/details/e676be62-48e2-4938-8fa1-e42e7ccfaba3,dl-de-by-1.0,"ZIP,WMS",d
,,,,x,,,,,,,,,,,,Grossfeuerungsanlagen,https://www.govdata.de/daten/-/details/d443800c-15a8-4247-8360-37e085047e33,dl-de-by-1.0,"ZIP,WMS",d
,,,,x,,,,,,,,,,,,Lärm: Fluglärm Ln -night- (Umgebungslärm),https://www.govdata.de/daten/-/details/16c80d1c-80a7-487f-a4ec-6ddf4caf91c1,dl-de-by-1.0,"ZIP,WMS",d
,,,,x,,,,,,,,,,,,Lärm: Siedlungsbeschränkungsbereich Fluglärm,https://www.govdata.de/daten/-/details/83fdcdf2-0b84-49a9-8219-cff06eaf6224,dl-de-by-1.0,"ZIP,WMS",d
,,,,,,,,,,x,,,,,,Luftqualität in Niedersachsen (LÜN-App),https://www.govdata.de/daten/-/details/0da36e05-bc60-4e01-87a9-f35081d2d3e6,other-open,,d
,,,,x,,,,,,,,,,,,Lärm: Strassenlärm Ln -night- (Umgebungslärm),https://www.govdata.de/daten/-/details/eece5e83-77a2-4354-8bc6-ff5191521a85,dl-de-by-1.0,"ZIP,WMS",d
,,,,x,,,,,,,,,,,,Luftschadstoffberechnungen: Stickstoffdioxid NO2 (2010),https://www.govdata.de/daten/-/details/5407202d-8c01-49ae-a381-14b8d47a428a,dl-de-by-1.0,"ZIP,WMS",d
,,,,x,,,,,,,,,,,,Luftschadstoffberechnungen für Städte: Feinstaub PM10 (2010),https://www.govdata.de/daten/-/details/9ce94631-f159-4c04-9672-4ac9dae926b0,dl-de-by-1.0,"ZIP,WMS",d
,x,,,,,x,,,,,,,,,,Kampagnenkalender Mai 2011,http://www.hildesheim.de/pics/medien/1_1303821398/Kampagnekalender_Internet.xlsx,nicht bekannt,XLSX,g
