Dateibezeichnung,URL,Lizenz,Format,Quelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Verwaltung,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert
Kastellaun - Ebene: Umringe der Bebauungspläne von Kastellaun,http://www.daten.rlp.de/dataset/34f31330-a03d-429f-a875-b27fa5e6ac84,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Beltheim - Ebene: Beltheim,http://www.daten.rlp.de/dataset/79de0de3-4ffb-48f6-8881-5d87562daed3,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Kastellaun - Ebene: Industriegebiet IX B,http://www.daten.rlp.de/dataset/658d089f-09c8-424b-acf2-e76c8b86bdb0,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Kastellaun - Ebene: Industriegebiet IX B 6. Änderung,http://www.daten.rlp.de/dataset/be959cbd-6c3d-484b-9ff8-f0c8a538f23b,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Kastellaun - Ebene: Südstraße,http://www.daten.rlp.de/dataset/c8acd0e9-c255-472c-bcae-1b5ccc7866ef,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Alterkülz - Ebene: Alterkülz,http://www.daten.rlp.de/dataset/a6b35b6f-7b93-4293-a652-c55efed37a1a,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Kastellaun - Ebene: Kleiner Rehberg XVII 2. Änderung,http://www.daten.rlp.de/dataset/052cc765-46d3-4b74-9f0c-b9aa2f46bf40,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Kastellaun - Ebene: Industriegebiet IX A 2. Änderung,http://www.daten.rlp.de/dataset/6da27e6e-5c47-4a12-a91e-7fdba5c96fbf,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Kastellaun - Ebene: Einzelhandelszentrum Bopparder Straße / Perlengasse 1. Änderung,http://www.daten.rlp.de/dataset/89a41502-fdf3-47df-b037-85409f8dcfd7,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Michelbach - Ebene: Michelbach,http://www.daten.rlp.de/dataset/a48a6e14-53a1-45b1-9893-fa88de09d205,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Kastellaun - Ebene: Fachmarktzentrum Bahnhofstraße,http://www.daten.rlp.de/dataset/a3d2c35c-6e3f-4682-abe6-42dffb97c9f3,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Kastellaun - Ebene: Kleiner Rehberg XVII 1. Änderung,http://www.daten.rlp.de/dataset/473f5c94-d6b1-4ce5-aec5-09e96646b7fb,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Korweiler - Ebene: Korweiler,http://www.daten.rlp.de/dataset/2ecfc3b9-01b7-4887-b911-b451ec45de20,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Kastellaun - Ebene: Kastellaun,http://www.daten.rlp.de/dataset/ebd367ae-46b1-4edc-901e-fe7cb9859ff5,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Kastellaun - Ebene: Industriegebiet IX A 1. Änderung,http://www.daten.rlp.de/dataset/50d92488-77b8-467e-bf5b-840ccbae7a2d,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
