Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,x,,,,,,,,,,,,,,Strassenknoten,http://offenedaten-koeln.de/dataset/strassenknoten,cc-by,"XML,KMZ,ZIP",d
,,,,,,,,,x,,,,,,,Verkehrskalender der Stadt Köln,http://offenedaten-koeln.de/dataset/verkehrskalender-der-stadt-köln,cc-by,JSON,d
,,x,,,,,,,x,,,,,,,Busparkplätze in Köln,http://offenedaten-koeln.de/dataset/busparkplätze-köln,cc-by,"JSON,KMZ",d
,,,,,,,x,,,,,,,,,Bundestagswahl8-Stadtbezirk,http://offenedaten-koeln.de/dataset/bundestagswahl8-stadtbezirk,cc-by,CSV,d
x,,,,,,,,,,,,,,,,Beschäftigte und Arbeitslose,http://offenedaten-koeln.de/dataset/beschäftigte-und-arbeitslose,cc-by,CSV,d
,,,,,x,,,,,,,,,,,Bauen Und Wohnen Baugenehmigungen,http://offenedaten-koeln.de/dataset/bauen-und-wohnen-baugenehmigungen,cc-by,CSV,d
,,,,,,,x,,,,,,,,,"Landtagswahl 2012, Erststimmen",http://offenedaten-koeln.de/dataset/landtagswahl-2012-erststimmen,cc-by,XLS,d
,,x,,,,,,,,x,,,,,,Sammelstellen für Weihnachtsbäume in Köln,http://offenedaten-koeln.de/dataset/sammelstellen-für-weihnachtsbäume-köln,cc-by,XML,d
,,,,,,,x,,,,,,,,,Wahldaten auf Wahlbezirksebene,http://offenedaten-koeln.de/dataset/wahldaten-auf-wahlbezirksebene,cc-by,ZIP,d
,,,,,,,x,,,,,,,,,Ergebnisse_der_Kommunalwahlen_in_Koeln_seit_1946_Zahl,http://offenedaten-koeln.de/dataset/ergebnissederkommunalwahleninkoelnseit1946zahl,cc-by,CSV,d
,,,,x,,,,x,,,,,,,,Gesundheit Und Soziales,http://offenedaten-koeln.de/dataset/gesundheit-und-soziales,cc-by,CSV,d
,,x,,,,,x,,,,,,,,,Landtagswahlkreis,http://offenedaten-koeln.de/dataset/landtagswahlkreis,cc-by,"XML,KMZ,ZIP",d
,,,,,x,,,,,,,,,,,Stadtteile Koeln,http://offenedaten-koeln.de/dataset/stadtteile-koeln,cc-by,CSV,d
,,,,,,,x,,,,,,,,,Ergebnisse_der_Bundestagswahlen_in_Koeln_seit_1949_Prozent,http://offenedaten-koeln.de/dataset/ergebnissederbundestagswahleninkoelnseit1949prozent,cc-by,CSV,d
x,,,,,,,,,,,,,,,,Einwohner nach Konfession,http://offenedaten-koeln.de/dataset/einwohner-nach-konfession,cc-by,CSV,d
x,,,,,,,,,,,,,,,,Einwohnerbewegung,http://offenedaten-koeln.de/dataset/einwohnerbewegung,cc-by,CSV,d
,,,,,,,,,x,,,,,,,Zugelassene Kraftfahrzeuge,http://offenedaten-koeln.de/dataset/zugelassene-kraftfahrzeuge,cc-by,CSV,d
,,x,,,,,x,,,,,,,,,Kommunalwahlbezirke,http://offenedaten-koeln.de/dataset/kommunalwahlbezirke,cc-by,"XML,KMZ,ZIP",d
,x,x,,,,x,,,,,,,,,,Museen in Köln - Standorte,http://offenedaten-koeln.de/dataset/museen-köln-standorte,cc-by,"JSON,KMZ",d
,,x,,,,,,,,,,,,,,Strassenabschnitt,http://offenedaten-koeln.de/dataset/strassenabschnitt,cc-by,"XML,KMZ,ZIP",d
x,,,,,,,,,,,,,,,,Vornamen,http://offenedaten-koeln.de/dataset/vornamen,cc-by,CSV,d
,,,,,,,x,,,,,,,,,Ergebnisse_der_Kommunalwahlen_in_Koeln_seit_1946_Prozent,http://offenedaten-koeln.de/dataset/ergebnissederkommunalwahleninkoelnseit1946prozent,cc-by,CSV,d
,,,,,,,x,,,,,,,,,Ergebnisse_der_Landtagswahlen_in_Koeln_seit_2010_Erststimmen_Prozent,http://offenedaten-koeln.de/dataset/ergebnissederlandtagswahleninkoelnseit2010erststimmenprozent,cc-by,CSV,d
x,,,,,,,,,,,,,,,,Haushalte mit Kindern,http://offenedaten-koeln.de/dataset/haushalte-mit-kindern,cc-by,CSV,d
x,,,,,,,,,,,,,,,,Einwohner Durchschnittsalter,http://offenedaten-koeln.de/dataset/einwohner-durchschnittsalter,cc-by,CSV,d
,,,,,,x,,x,,,,,,,,Spiel- und Sportplaetze in Koeln,http://offenedaten-koeln.de/dataset/spiel-und-sportplaetze-koeln,cc-by,"JSON,KMZ",d
,x,x,,,,,,,,,,,,,,Schulen mit gemeinsamen Unterricht in Köln,http://offenedaten-koeln.de/dataset/schulen-mit-gemeinsamen-unterricht-köln,cc-by,"JSON,KMZ",d
