Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,x,,,x,,,,,,,,,,,Baustellen mit Auswirkungen auf den Straßenverkehr 2012-2014,http://cdn.leipzig.de/fileadmin/extensions/pressreleases/AEE3C3E4528C25E0C1257CCA003EB499/Baustellenliste.xls,nicht bekannt,XLS,g
,,x,,,x,,,,,,,,,,,"Baustellen mit Auswirkungen auf den Straßenverkehr 2012, 2013, 2014",http://cdn.leipzig.de/fileadmin/extensions/pressreleases/215320701D5899DAC1257BC7004CD01C/Baustellenliste.xls,nicht bekannt,XLS,g
,,x,,,x,,,,,,,,,,,Baustellen mit Auswirkungen auf den Straßenverkehr 2008-2010,http://cdn.leipzig.de/fileadmin/extensions/pressreleases/3DF02AC355D0A5CBC125771400411EDE/Baustellenliste.xls,nicht bekannt,XLS,g
,,x,,,x,,,,,,,,,,,Baustellen mit Auswirkungen auf den Straßenverkehr 2012-2014,https://cdn.leipzig.de/fileadmin/extensions/pressreleases/66520E22F41344DFC1257C0000337DF7/Baustellenliste.xls,nicht bekannt,XLS,g
,,x,,,x,,,,,,,,,,,Baustellen mit Auswirkungen auf den Straßenverkehr 2012-2014,https://cdn.leipzig.de/fileadmin/extensions/pressreleases/56C7343DB38BD73BC1257C6700368339/Baustellenliste.xls,nicht bekannt,XLS,g
,,x,,,x,,,,,,,,,,,Baustellen mit Auswirkungen auf den Straßenverkehr 2010-2012,http://cdn.leipzig.de/fileadmin/extensions/pressreleases/E6B92B736ACD728DC1257A39004DC99B/Baustellenliste%2012-07-2012.xls,nicht bekannt,XLS,g
,,x,,,x,,,,,,,,,,,Baustellen mit Auswirkungen auf den Straßenverkehr 2011-2014,http://cdn.leipzig.de/fileadmin/extensions/pressreleases/ED4A47780250C9D2C1257B900027DB06/Baustellenliste.xls,nicht bekannt,XLS,g
,,x,,,x,,,,,,,,,,,Baustellen mit Auswirkungen auf den Straßenverkehr 17.06.2013-18.11.2013,http://cdn.leipzig.de/fileadmin/extensions/pressreleases/F7FA5E2358C60718C1257B8A00211FC7/Korrektur%20Baustellenmeldung%20vom%2013062013.xls,nicht bekannt,XLS,g
,,x,,,x,,,,,,,,,,,Baustellen mit Auswirkungen auf den Straßenverkehr 2012-2014,https://cdn.leipzig.de/fileadmin/extensions/pressreleases/2265011E85460781C1257C5900541219/Baustellenliste.xls,nicht bekannt,XLS,g
,,x,,,x,,,,,,,,,,,Baustellen mit Auswirkungen auf den Straßenverkehr 2012-2014,http://cdn.leipzig.de/fileadmin/extensions/pressreleases/8827146E3EA6844AC1257CAC00386297/Baustellenliste.xls,nicht bekannt,XLS,g
