Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,x,,,,,,,,,Stadt Mannheim - Bürgerentscheid Bundesgartenschau 2023 - Amtliches Endergebnis - Wahlbezirke,https://www.mannheim.de/sites/default/files/page/41534/buga-wahlbezirke.xls,,XLS,g
,,,,,,,x,,,,,,,,,Landtagswahl am 27.03.2011 in Mannheim - amtl. Endergebnis,https://www.mannheim.de/sites/default/files/page/5376/ltw11-amtlendergebnis-datenblatt.xls,,XLS,g
,x,,,,,x,,,,,,,,,,Liste von Turn- und Sporthallen 2012,https://www.mannheim.de/sites/default/files/page/1444/05_2012_liste_aller_turn-_gymanstik-_und_sporthallen_an_mannheimer_schulen.xls,,XLS,g
,,,,,,,x,,,,,,,,,Bundestagswahl 2009: Ergebnistabellen,https://www.mannheim.de/sites/default/files/page/5377/btw09_ergebnistabellen.xls,,XLS,g
,,,,,,,x,,,,,,,,,Stadt Mannheim - Bürgerentscheid Bundesgartenschau 2023 - Amtliches Endergebnis - Wahlgebäude,https://www.mannheim.de/sites/default/files/page/41534/buga-wahlgebaude.xls,,XLS,g
,,,,,,,x,,,,,,,,,Stadt Mannheim - Bundestagswahl 2013 - Amtliches Endergebnis - Wahlbezirke,https://www.mannheim.de/sites/default/files/page/5377/btw-wahlbezirke_neu.xls,,XLS,g
,,,,,,,x,,,,,,,,,Volksabstimmung S 21 am 27.11.2011 im Stimmkreis Stadt Mannheim,https://www.mannheim.de/sites/default/files/page/19944/va-s21-amtl.endergebnis_ma.xls,,XLS,g
,x,,,,,x,,,,,,,,,,Liste von Turn- und Sporthallen,https://www.mannheim.de/sites/default/files/page/1444/liste_aller_turn-_gymanstik-_und_sporthallen_an_mannheimer_schulen.xls,,XLS,g
,,,,,,,x,,,,,,,,,Stadt Mannheim - Bundestagswahl 2013 - Amtliches Endergebnis - Wahlgebäude,https://www.mannheim.de/sites/default/files/page/5377/btw-wahlgebaude.xls,,XLS,g
,,x,,,x,,,,,,,,,,,Stadt Mannheim - Bürgerentscheid Bundesgartenschau 2023 - Amtliches Endergebnis - Stadtbezirke,https://www.mannheim.de/sites/default/files/page/41534/buga-stadtbezirke.xls,,XLS,g
,,,,,,,x,,,,,,,,,Stadt Mannheim - Bundestagswahl 2013 - Amtliches Endergebnis - Stadtbezirke,https://www.mannheim.de/sites/default/files/page/5377/btw-stadtbezirke.xls,,XLS,g
,,,,,,x,,,,,,,,,,Liste von Turn- und Sporthallen,https://www.mannheim.de/sites/default/files/page/1444/turn-_und_sporthallen_fb_bildung_internet.xls,,XLS,g
,,x,,,x,x,,,,,,,,,,Verwaltungshaushalt 2010/11,https://www.mannheim.de/sites/default/files/page/2516/etat2010-2011vwh.xls,,XLS,g
,,,,,,,x,,,,,,,,,Landtagswahl am 26.03.2006 in Mannheim - Amtliches Endergebnis,https://www.mannheim.de/sites/default/files/page/5376/ltw06-datenblatt-internet.xls,,XLS,g
,,x,,,x,x,,,,,,,,,,Vermögenshaushalt 2010/11,https://www.mannheim.de/sites/default/files/page/2516/etat2010-2011vmh.xls,,XLS,g
