Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,,,x,,,,Zugriffsstatistiken von moers.de für Juni 2014,http://www.moers.de/C1257221003C7526/html/05EB762055330229C1257D0A003E6914?OpenDocument,dl-de-zero-2.0,ZIP,d
,,,,,,,,,,,,x,,,,Haushaltsplanentwurf 2014,http://www.moers.de/C1257221003C7526/html/5775CA1DE62C50A8C1257C9100355E33?OpenDocument,dl-de-zero-2.0,XML,d
,,,,,,,x,,,,,,,,,Wahlergebnis der Bundestagswahl 2009 für das Moerser Stadtgebiet,http://www.moers.de/C1257221003C7526/html/A3997F1C8C859BD6C1257C0500234A6F?OpenDocument,dl-de-zero-2.0,CSV,d
x,,,,,,,,,,,,,,,,Bevölkerung in den Sozialatlasbezirken nach Migrationshintergrund 2011,http://www.moers.de/C1257221003C7526/html/2C5514779846D7B3C1257B0F00309C2E?OpenDocument,dl-de-zero-2.0,CSV,d
,,,,,,x,,,,,,,,,,Schulen und Bildungseinrichtungen,http://www.moers.de/C1257221003C7526/html/8D0B93A9D5953BBCC1257B12003C107F?OpenDocument,dl-de-zero-2.0,XSP,d
,,,,,,x,,,,,,,,,,Teilnehmer nach Instrumenten in der Moerser Musikschule im Schuljahr 2012/2013,http://www.moers.de/C1257221003C7526/html/1A4FCFFDCA8733F0C1257C7E0030D8F9?OpenDocument,dl-de-zero-2.0,CSV,d
,,x,,,,,,,,,,,,,,Grünflächen in bebauten Ortslagen,http://www.moers.de/C1257221003C7526/html/F873FD90317F25A8C1257C8200454A43?OpenDocument,dl-de-zero-2.0,JSON,d
,,,,,,,x,,,,,,,,,Wahlergebnis der Europawahl 2009 für das Moerser Stadtgebiet,http://www.moers.de/C1257221003C7526/html/3C06B59FE72A75EBC1257C21002AE4E1?OpenDocument,dl-de-zero-2.0,CSV,d
,,,,,,x,,,,,,,,,,Bildungsträger,http://www.moers.de/C1257221003C7526/html/3933F03023F7BC37C1257B120048D496?OpenDocument,dl-de-zero-2.0,XSP,d
,,,,,,,,,,,,x,,,,Telefonbuch der Stadtverwaltung,http://www.moers.de/C1257221003C7526/html/64B726239A5CCADDC1257B0F0033F2BB?OpenDocument,dl-de-zero-2.0,XML,d
