Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,x,,,,,,,,,Landtagswahl/Gesamtstimme/ltw-stimmbezirke-gesamtstimmen,http://www.muenchen.de/rathaus/dms/Home/Stadtinfos/Statistik/wahlen/Landtagswahl/Gesamtstimme/ltw-stimmbezirke-gesamtstimmen/ltw.stimmbezirke.gesamtstimmen.xls,nicht bekannt,XLS,g
,,,,,,,x,,,,,,,,,bundestagswahl/zweitstimme/btw-wahlbezirke-zweitstimmen,http://www.muenchen.de/rathaus/dms/Home/Stadtinfos/Statistik/wahlen/bundestagswahl/zweitstimme/btw-wahlbezirke-zweitstimmen/btw.wahlbezirke.zweitstimmen.xls,nicht bekannt,XLS,g
,,,,,,,x,,,,,,,,,Kommunalwahl-14/Gesamtstimmen-Stadtbezirke---Stadtratswahl-2014---vorl-ufiges-Ergebnis--Stand-18-3-2014---28-KB--CSV,http://www.muenchen.de/rathaus/dms/Home/Stadtverwaltung/Kreisverwaltungsreferat/fachspezifisch/GL/Wahlamt/Kommunalwahl-14/Gesamtstimmen-Stadtbezirke---Stadtratswahl-2014---vorl-ufiges-Ergebnis--Stand-18-3-2014---28-KB--CSV-/Gesamtstimmen%20Stadtbezirke%20-%20Stadtratswahl%202014%20-%20vorl%C3%A4ufiges%20Ergebnis%20%28Stand%2018.3.2014%29%20%2828%2C5%20KB%2C%20CSV%29.csv,nicht bekannt,CSV,b
,,,,,,,x,,,,,,,,,Landtagswahl/bzw-stimmbezirke-gesamtstimmen,http://www.muenchen.de/rathaus/dms/Home/Stadtinfos/Statistik/wahlen/Landtagswahl/bzw-stimmbezirke-gesamtstimmen/bzw.stimmbezirke.gesamtstimmen.xls,nicht bekannt,XLS,g
,,,,,,,x,,,,,,,,,Landtagswahl/bzw-stimmbezirke-erststimmen,http://www.muenchen.de/rathaus/dms/Home/Stadtinfos/Statistik/wahlen/Landtagswahl/bzw-stimmbezirke-erststimmen/bzw.stimmbezirke.erststimmen.xls,nicht bekannt,XLS,g
,,,,,,,x,,,,,,,,,Kommunalwahl-14/srw-stadtbezirke,http://www.muenchen.de/rathaus/dms/Home/Stadtverwaltung/Kreisverwaltungsreferat/fachspezifisch/GL/Wahlamt/Kommunalwahl-14/srw-stadtbezirke/srw.stadtbezirke.csv,nicht bekannt,CSV,b
,,,,,,,x,,,,,,,,,Kommunalwahl-14/Gesamtstimmen-Stadtbezirke---Statdratswahl-2014---endgueltiges-Ergebnis--28-KB--CSV,http://www.muenchen.de/rathaus/dms/Home/Stadtverwaltung/Kreisverwaltungsreferat/fachspezifisch/GL/Wahlamt/Kommunalwahl-14/Gesamtstimmen-Stadtbezirke---Statdratswahl-2014---endgueltiges-Ergebnis--28-KB--CSV-/Gesamtstimmen%20Stadtbezirke%20-%20Statdratswahl%202014%20-%20endgueltiges%20Ergebnis%20%2828%20KB%2C%20CSV%29.csv,nicht bekannt,CSV,b
,,,,,,,x,,,,,,,,,bundestagswahl/erststimme/btw-wahlbezirke-erststimmen,http://www.muenchen.de/rathaus/dms/Home/Stadtinfos/Statistik/wahlen/bundestagswahl/erststimme/btw-wahlbezirke-erststimmen/btw.wahlbezirke.erststimmen.xls,nicht bekannt,XLS,g
,,,,,,,x,,,,,,,,,Kommunalwahl-14/Gesamtstimmen-Stadtbezirke---Oberb-rgermeisterwahl-2014-endg-ltiges-Ergebnis--22-1-KB--CSV-,http://www.muenchen.de/rathaus/dms/Home/Stadtverwaltung/Kreisverwaltungsreferat/fachspezifisch/GL/Wahlamt/Kommunalwahl-14/Gesamtstimmen-Stadtbezirke---Oberb-rgermeisterwahl-2014-endg-ltiges-Ergebnis--22-1-KB--CSV-/Gesamtstimmen%20Stadtbezirke%20-%20Oberb%C3%BCrgermeisterwahl%202014%20endg%C3%BCltiges%20Ergebnis%20%2822%2C1%20KB%2C%20CSV%29.csv,nicht bekannt,CSV,b
,,,,,,,x,,,,,,,,,Landtagswahl/bzw-stimmbezirke-zweitstimmen,http://www.muenchen.de/rathaus/dms/Home/Stadtinfos/Statistik/wahlen/Landtagswahl/bzw-stimmbezirke-zweitstimmen/bzw.stimmbezirke.zweitstimmen.xls,nicht bekannt,XLS,g
