Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,,,,,,,Abfuhrtermine Gelbe Säcke,http://wbg.nuernberg.de/fileadmin/user_upload/Dokumente/Abfuhrtermine_Gelbe_Saecke.xlsx,nicht bekannt,XLSX,b
x,,,,,,,,,,,,,,,,"Eckdaten für die Europäische Metropolregion Nürnberg, Stadt Bayreuth",http://www.archiv.statistik.nuernberg.de/stat_inf/emn/2006/eckdaten/Bayreuth%20(Krfr.St.).xls,,XLS,g
x,,,,,,,,,,,,,,,,"Eckdaten für die Europäische Metropolregion Nürnberg, Landkreis Forchheim",http://www.archiv.statistik.nuernberg.de/stat_inf/emn/2006/eckdaten/Forchheim%20(Lkr.).xls,,XLS,g
x,,,,,,,,,,,,,,,,"Eckdaten für die Europäische Metropolregion Nürnberg, Landkreis Ansbach",http://www.archiv.statistik.nuernberg.de/stat_inf/emn/2006/eckdaten/Ansbach%20(Lkr.).xls,,XLS,g
x,,,,,,,,,,,,,,,,"Eckdaten für die Europäische Metropolregion Nürnberg, Fürth",http://www.archiv.statistik.nuernberg.de/stat_inf/emn/2006/eckdaten/Fuerth%20(Lkr.).xls,,XLS,g
x,,,,,,,,,,,,,,,,"Eckdaten für die Europäische Metropolregion Nürnberg, Landkreis Nürnberger Land",http://www.archiv.statistik.nuernberg.de/stat_inf/emn/2006/eckdaten/Nuernberger%20Land%20(Lkr.).xls,,XLS,g
x,x,,,,,,,,,,,,,,,Anmeldungen Realschulen 2006/07,https://www.nuernberg.de/imperia/md/content/intranet/vorschriften/hdv/allgemein/pm_445_anlage_trealschulenstatistik.xls,,XLS,g
x,,,,,,,,,,,,,,,,"Eckdaten für die Europäische Metropolregion Nürnberg, Landkreis Haßberge",http://www.archiv.statistik.nuernberg.de/stat_inf/emn/2006/eckdaten/Hassberge%20(Lkr.).xls,,XLS,g
,,,,,,,,,,x,,,,,,Niederschläge 30-Tages-Ansichten,http://umweltdaten.nuernberg.de/csv/wetterdaten/messstation-nuernberg-flugfeld/niederschlag/csv-export/SUN/nuernberg-flugfeld/niederschlagsmenge/30-Tages-Ansicht/export.csv,nicht bekannt,CSV,b
x,x,,,,,,,,,,,,,,,Anmeldungen Gymnasien 2007/08,http://www.nuernberg.de/imperia/md/presse/dokumente/pressemitteilungen/p05092007let4anmeldunggymnasien.xls,,XLS,g
x,,,,,,,,,,,,,,,,"Eckdaten für die Europäische Metropolregion Nürnberg, Stadt Nürnberg",http://www.archiv.statistik.nuernberg.de/stat_inf/emn/2006/eckdaten/Nuernberg%20(Krfr.St.).xls,,XLS,g
