Dateibezeichnung,URL,Lizenz,Format,Quelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Verwaltung,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert
Rheinböllen - Ebene: Hinter Henkersbitz,http://www.daten.rlp.de/dataset/50d7547f-cfc7-48c0-842f-9cf049b067a3,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Rheinböllen - Ebene: Alte Römerstraße,http://www.daten.rlp.de/dataset/634ff67f-31cd-4a52-9f6a-a58b55874b3a,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Dichtelbach - Ebene: Dichtelbach,http://www.daten.rlp.de/dataset/eafc55fe-4788-48c7-8c76-07936af17fd0,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Rheinböllen - Ebene: Rheinböllen,http://www.daten.rlp.de/dataset/cf066a96-9c25-4717-9784-86ac6a7f02ba,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Rheinböllen - Ebene: Abrundungssatzung Bacharacher Straße,http://www.daten.rlp.de/dataset/78efbcec-d1c3-4ea7-8736-eca1dfe1ecbf,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Rheinböllen - Ebene: Am Bahnhof und Umfeld - Teil A,http://www.daten.rlp.de/dataset/86615633-2f16-4135-9bf7-78227872d5a8,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Rheinböllen - Ebene: In der Henkersbitz,http://www.daten.rlp.de/dataset/3f3d6291-a9a0-4cf1-af6e-01938cc0b969,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Rheinböllen - Ebene: Industriepark Soonwald,http://www.daten.rlp.de/dataset/8ea94be6-6f46-42ff-a751-e6e6d7eaa180,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Rheinböllen - Ebene: Soonwaldblick,http://www.daten.rlp.de/dataset/cf949d56-4d2c-40d6-8648-e44bee5f6cf0,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Rheinböllen - Ebene: Industriegebiet Am Bahnhof,http://www.daten.rlp.de/dataset/bff95412-2f8a-418b-8239-b7d2064c8e2f,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Argenthal - Ebene: Argenthal,http://www.daten.rlp.de/dataset/837a2806-1457-4763-80f8-1d5ac4c99bc4,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Rheinböllen - Ebene: Am Hockenborn,http://www.daten.rlp.de/dataset/18f97f06-baa3-44bf-888f-1c9568fc5ec8,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Liebshausen - Ebene: Liebshausen,http://www.daten.rlp.de/dataset/d1d9b141-4b18-4da9-8689-d61208e8d318,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
