Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,x,,,,,,,,,,,,,,BPläne Stadt Bingen - Ebene: Fußgängerunterführung/Kirche (601.0),http://www.daten.rlp.de/dataset/0087de72-79c3-4184-a2fc-a5af3d79c164,dl-de-by-nc-1.0,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,BPläne Stadt Bingen - Ebene: Im Kirschgarten - 1. Änderung (309.1),http://www.daten.rlp.de/dataset/66ba4910-d3af-41bd-b708-15c1a84ccdcd,dl-de-by-nc-1.0,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Andernach - Ebene: Rauscherstrasse und Umgebung 2. Änderung,http://www.daten.rlp.de/dataset/75dd4986-a146-460b-b299-e11ec5f05172,dl-de-by-1.0,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,x,,,,,,,,,,,Regionalplanung Mittelrhein-Westerwald und Trier - Ebene: Vorrang Fliessgewaesserentwicklung Mittelrhein-Westerwald,http://www.daten.rlp.de/dataset/2284a92b-5cda-412a-ac58-474697809f50,dl-de-by-nc-1.0,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Benzweiler - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/72d21fdd-1150-4aa0-a9d0-667ae4522de0,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: An der Loreley,http://www.daten.rlp.de/dataset/f2d94902-e532-445c-83a5-486f3609e3e7,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Dichtelbach - Ebene: Auf der Kreuzwies,http://www.daten.rlp.de/dataset/3c63e172-3535-4554-aec4-a1423f118b7a,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Kastellaun - Ebene: Einzelhandelszentrum Bopparder Straße / Perlengasse 1. Änderung,http://www.daten.rlp.de/dataset/89a41502-fdf3-47df-b037-85409f8dcfd7,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Kisselbach - Ebene: Umringe der Bebauungspläne von Kisselbach,http://www.daten.rlp.de/dataset/5a722cd0-aa1d-4eba-993f-39af136fc5b3,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,Schwall - Ebene: Schwall,http://www.daten.rlp.de/dataset/3d2670a8-63ec-4f35-bc18-7eaf76ae7824,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,x,,,,,,Grundwassermessstellen - Ebene: Grundwassermessstellen,http://www.daten.rlp.de/dataset/6accfb50-3ebc-4fa3-97d7-8527541d1f49,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,Zweibrücken - Ebene: Zweibrücken,http://www.daten.rlp.de/dataset/d1622e28-5837-4cdd-9ccb-60095f14e674,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,Niederkumbd - Ebene: Umringe der Bebauungspläne von Niederkumbd,http://www.daten.rlp.de/dataset/69c252e0-62ae-4cbc-97c9-8bda36cdb766,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,BPläne OG Appenheim - Ebene: Am Wethbach (3.0),http://www.daten.rlp.de/dataset/128ba6b2-76bc-4170-aa53-529115913b3e,dl-de-by-nc-1.0,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,Bebauungspläne Landau - Ebene: GS4_Neuaufstellung,http://www.daten.rlp.de/dataset/6129eaa8-59e6-4645-97a2-6c22045205f8,cc-by,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Riesweiler - Ebene: Industriepark Simmern,http://www.daten.rlp.de/dataset/4355e211-764e-4112-ac2e-ae05e3974c25,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Ediger-Eller - Ebene: Auf dem Wert,http://www.daten.rlp.de/dataset/5f9c06ca-1b29-4431-8473-7a1fc0f07bf7,dl-de-by-nc-1.0,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Karbach - Ebene: Heidchesstücker,http://www.daten.rlp.de/dataset/5c9889a5-a76f-4bfa-a45b-f529cc8fa5c4,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Niederweiler - Ebene: Ergänzungssatzung An der K74,http://www.daten.rlp.de/dataset/6dd3476e-4bbc-4cb4-ba95-920c97662dd4,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Kratzenburg - Ebene: Hellerwald II 1. Änderung,http://www.daten.rlp.de/dataset/98f6c0c7-2aa9-42aa-9f97-5e9f70667b5e,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,"Rohrbach - Ebene: Baugebiet in Flur 1, 11 und 12 1. Änderung",http://www.daten.rlp.de/dataset/78df92f3-011a-4cf0-bc45-8991e107ec3e,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Weitersburg - Ebene: Gewerbegebiet Grenzhausener Straße -Teilbereich Ost-,http://www.daten.rlp.de/dataset/5c3c2a68-8eec-4bdf-8f97-24e642a1393f,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
