Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,x,,,,,,,,,,,recyclinghoefe.xlsx,https://geo.sv.rostock.de/download/opendata/recyclinghoefe/recyclinghoefe.xlsx,nicht bekannt,XLSX,g
,,x,,,x,,,,,,,,,,,ortsamtsbereiche.xlsx,https://geo.sv.rostock.de/download/opendata/ortsamtsbereiche/ortsamtsbereiche.xlsx,nicht bekannt,XLSX,g
,,,,,x,,,,x,,,,,,,tankstellen.xlsx,https://geo.sv.rostock.de/download/opendata/tankstellen/tankstellen.xlsx,nicht bekannt,XLSX,g
,,x,,,x,,,,,,,,,,,statistische_bezirke.xlsx,https://geo.sv.rostock.de/download/opendata/statistische_bezirke/statistische_bezirke.xlsx,nicht bekannt,XLSX,g
,,x,,,x,,,,,,,,,,,gemeindeflaeche.xlsx,https://geo.sv.rostock.de/download/opendata/gemeindeflaeche/gemeindeflaeche.xlsx,nicht bekannt,XLSX,g
,,,,,,x,,,x,,,,,,,reisebusterminals.xlsx,https://geo.sv.rostock.de/download/opendata/reisebusterminals/reisebusterminals.xlsx,nicht bekannt,XLSX,g
,,,,,,x,,,,,,,,,,brunnen.xlsx,https://geo.sv.rostock.de/download/opendata/brunnen/brunnen.xlsx,nicht bekannt,XLSX,g
,,,,,,x,,,,,,,,,,denkmale.xlsx,https://geo.sv.rostock.de/download/opendata/denkmale/denkmale.xlsx,nicht bekannt,XLSX,g
,,,,,,,,x,,,,,,,,tagespflegeeinrichtungen.xlsx,https://geo.sv.rostock.de/download/opendata/tagespflegeeinrichtungen/tagespflegeeinrichtungen.xlsx,nicht bekannt,XLSX,g
,,x,,,x,,,,,,,,,,,stadtbereiche.xlsx,https://geo.sv.rostock.de/download/opendata/stadtbereiche/stadtbereiche.xlsx,nicht bekannt,XLSX,g
,,,,,,x,,,,,,,,,,Kinos,http://www.opendata-hro.de/dataset/d7f5a5e3-64c8-4f13-9613-a01b440f2610,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,,,x,,,,,,,,,Landtagswahl 2006,http://www.opendata-hro.de/dataset/4e932629-4bc2-4b23-9642-8076ee9fb8d4,odc-by,"CSV,XLSX,JSON",d
,,,,,,,x,,,,,,,,,Bundestagswahl 2009,http://www.opendata-hro.de/dataset/b9173e26-0b66-4fa1-84e8-e2662e1c5f79,odc-by,"CSV,XLSX,JSON",d
,x,,,,,x,,,,,,,,,,Bibliotheken,http://www.opendata-hro.de/dataset/0bd49d5f-cd42-44a9-8938-75173fe07b17,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,,,x,,,,,,,,,Bundestagswahl 2005,http://www.opendata-hro.de/dataset/d31b7c96-c44a-46d3-87b7-e6275d7637ca,odc-by,"CSV,XLSX,JSON",d
,,,,,,x,,,,,,,,,,kinos.xlsx,https://geo.sv.rostock.de/download/opendata/kinos/kinos.xlsx,nicht bekannt,XLSX,g
,,,,,,,,,x,,,,,,,faehranleger.xlsx,https://geo.sv.rostock.de/download/opendata/faehranleger/faehranleger.xlsx,nicht bekannt,XLSX,g
,,,,,,,,,,,,x,,,,rettungswachen.xlsx,https://geo.sv.rostock.de/download/opendata/rettungswachen/rettungswachen.xlsx,nicht bekannt,XLSX,g
,,,,,x,,,,,x,,,,,,trinkwasserschutzzonen.xlsx,https://geo.sv.rostock.de/download/opendata/trinkwasserschutzzonen/trinkwasserschutzzonen.xlsx,nicht bekannt,XLSX,g
,,x,,,,,,,,,,x,,,,Statistische Blöcke,http://www.opendata-hro.de/dataset/1d163996-5ed7-488d-8d8e-11910a3c99c2,odc-by,"CSV,XLSX,GEOJSON,SHAPEFILE,KML,GML,WMS",d
,,x,,,,,,,,x,,,,,,Sturmflut Ostsee,http://www.opendata-hro.de/dataset/79fc3386-6677-4af2-a9ef-5346225bc794,odc-by,"CSV,GEOJSON,SHAPEFILE,KML,GML,WMS",d
,,,,,,,,,x,,,,,,,Reisebusparkplätze,http://www.opendata-hro.de/dataset/3cf4bc27-0769-48a2-aa46-95cccc4c80b5,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
x,,,,,,,,,,,,x,,,,Bevölkerungsstruktur 2007,http://www.opendata-hro.de/dataset/ca6846a1-5bf5-46a9-9b2f-5f7cb25fef6b,odc-by,"XLSX,CSV,JSON",d
,,,,,,,,,,,x,,x,,,Poststellen,http://www.opendata-hro.de/dataset/cdf7d719-9049-43cf-8536-1fc6596601c0,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,x,,,,,x,,,,,,Altkleidercontainer,http://www.opendata-hro.de/dataset/e20b32ea-1e32-45c4-8305-2c2b8110a5bc,odc-by,"CSV,GEOJSON,KML,GML,WMS",d
,,,,,,x,,,,,,,,,,Musikclubs,http://www.opendata-hro.de/dataset/c3d9bc4f-4828-4d19-ae36-f7d8c44702be,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,,,,,,,,x,,,,Behörden (kommunal),http://www.opendata-hro.de/dataset/658f0d83-31e1-4f34-bdff-4498972a9163,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,x,,,,x,,,x,,,,,,,Radwege,http://www.opendata-hro.de/dataset/e21bad4a-713a-447a-8474-51c677d9aa1b,odc-by,"CSV,GEOJSON,SHAPEFILE,KML,GML,WMS",d
,,,,,,,,,x,,,,,,,Straßenbahnlinien,http://www.opendata-hro.de/dataset/ecb362e0-49d5-4bf2-a3a2-17851c6ac9f4,odc-by,"CSV,GEOJSON,SHAPEFILE,KML,GML,WMS",d
,,,,,x,,,,,,x,,x,,,Postbriefkästen,http://www.opendata-hro.de/dataset/6e48cf86-e713-4c31-969c-6045609f24be,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
