Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: In den Kreuzgärten 1. Änderung,http://www.daten.rlp.de/dataset/de7732d2-98ea-4e2e-ae6b-33960ad0995b,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: In der Stiftswiese,http://www.daten.rlp.de/dataset/ddb674cb-af45-4b54-9ea8-21f01e04fdac,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Gesamtbebauungsplan Biebernheim 5. Änderung,http://www.daten.rlp.de/dataset/118f9ba0-3dd5-40b0-ae36-72fd5c9b13fb,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Am Rheinweg,http://www.daten.rlp.de/dataset/197b6511-55de-4621-8968-99b9e617af42,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Vor dem Schlag 2. Änderung,http://www.daten.rlp.de/dataset/ccfa0113-26ef-4da0-8806-04d0c229a511,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: In der Pfingstwiese 2. Änderung,http://www.daten.rlp.de/dataset/6bfb08b7-4f32-4773-ad21-b707a7621b71,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Auf dem Hähnchen II 1. Änderung,http://www.daten.rlp.de/dataset/1fb814c8-565f-4741-87ad-1b6f60e9251a,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Hafengelände,http://www.daten.rlp.de/dataset/5378bd4c-6bcc-4a95-982a-ad06d55787dc,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Gesamtbebauungsplan Biebernheim 1. Änderung,http://www.daten.rlp.de/dataset/0b73aefb-84df-4a46-9c86-ae5085d7ea66,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Hellsgasse,http://www.daten.rlp.de/dataset/3ee6ea2a-6ac7-4b8f-9914-4a1af4e55300,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Vor dem Schlag,http://www.daten.rlp.de/dataset/9c1bfcee-4913-48be-948a-801c15aa039f,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
