Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, kreisfreie Stadt Speyer -",http://www.daten.rlp.de/dataset/05dc1bd2-6579-4a99-95d1-a1a23f53297d,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaftliche Entwicklungspotenziale, kreisfreie Stadt Speyer –",http://www.daten.rlp.de/dataset/cbccd382-0679-49a4-b1c2-e6d5c8ac09bb,dl-de-by-1.0,PDF,d
,,,,,,,,,x,,,,,,,"Langzeitzählstelle auf der B 9 in AS Kreuz Speyer, VQ Süd",http://www.daten.rlp.de/dataset/4bd64f3b-d0b4-480d-b2b7-40adbe45fab1,dl-de-by-1.0,PDF,d
,,,,x,,,,x,,,,,,,,"Datenkompass – Soziales und Gesundheit, kreisfreie Stadt Speyer –",http://www.daten.rlp.de/dataset/4f83eb90-8dd4-486d-923f-f3a7486cf7d2,dl-de-by-1.0,PDF,d
,x,,,,,,,,,,,,,,,"Datenkompass – Erziehung und Bildung, kreisfreie Stadt Speyer –",http://www.daten.rlp.de/dataset/9f06970f-be67-4a0c-bb30-fc7233e7bbdf,dl-de-by-1.0,PDF,d
,,,,,,x,,,,,,,,,,"Datenkompass – Tourismus, kreisfreie Stadt Speyer –",http://www.daten.rlp.de/dataset/116402d0-30a0-4799-9cf0-ff07ff751657,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Arbeitsmarkt, Erwerbstätigkeit, kreisfreie Stadt Speyer –",http://www.daten.rlp.de/dataset/f18ee998-5adf-4b4c-becc-51fb87f64c6f,dl-de-by-1.0,PDF,d
,,,x,,,,,,,,,,,,,Programm 2. Speyerer Forum April 2013,http://www.daten.rlp.de/dataset/7f300df6-3750-496d-9465-73c2a389bc7a,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Datenkompass – Bevölkerung und Gebiet, Haushalte und Familien, kreisfreie Stadt Speyer –",http://www.daten.rlp.de/dataset/1ccfd6c0-de32-4121-bb95-6f0dbad5c8de,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaft, kreisfreie Stadt Speyer –",http://www.daten.rlp.de/dataset/2d51cd94-ae42-4a0d-a8eb-6c4c83ba7289,dl-de-by-1.0,PDF,d
