Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,x,,,,,x,,,,,http://service.stuttgart.de/lhs-services/komunis/documents/977_1.XLS,nicht bekannt,XLS,b
,x,,,,,x,,,,,,,,,,,http://www.domino1.stuttgart.de/web/ksd/KSDRedSystem.nsf/72557906d85ac74c412569e5005d382f/773eb1bea51437dcc12576ef0062fe85/$FILE/Anlage%204%20Geb%C3%BChrenordnung%20Musikschule%20ab%201.%20August%202010.xls,nicht bekannt,XLS,g
x,,x,,,x,,,,,,,,,,,Indikatoren zur Siedlungsstruktur in Stuttgart seit 1980 - Stadt Stuttgart,http://www.stuttgart.de/item/show/143890/1/publ/13793,nicht bekannt,XLS,c
,,,,,,,,,,,,,,x,,,http://www.domino1.stuttgart.de/web/ksd/ksdarchiv.nsf/9d028a5982ae6885c12571df0041ba4a/ba277ef5f26dfe0cc125765d0032be7a/$FILE/F%C3%BChrungskr%C3%A4fte%20gesamt%20zum%2031-12-2005%20Anlage1.xls,nicht bekannt,XLS,g
,,,,,,,,,,,,,x,,,Sozialversicherungspflichtig Beschäftigte in Stuttgart seit 1980 nach Geschlecht und Altersgruppen - Stadt Stuttgart,http://www.stuttgart.de/item/show/305805/1/publ/13659,nicht bekannt,XLS,c
,,,,,,,,,,,,x,,,,,http://www.domino1.stuttgart.de/web/ksd/KSDRedSystem.nsf/3773c106d8cc9a76c1256ad900302205/b9c66c33740d6117c12579fe0031d558/$FILE/Anlage%201%20zur%20GRDrs%20339_2012.xls,nicht bekannt,XLS,g
,,,,,x,,,,,,,,,,,Kommunales Abfallaufkommen in Stuttgart seit 1990 nach Art der Entsorgung - Stadt Stuttgart,http://www.stuttgart.de/item/show/143890/1/publ/13804,nicht bekannt,XLS,c
,,,,,,,,,,,,x,x,,,,http://www.domino1.stuttgart.de/web/ksd/KSDRedSystem.nsf/dc5e48bde54b0b2941256a6f0036f408/66e245dd53b05bb4c1257966003715f4/$FILE/Anlage%204_Seite%2013.xls,nicht bekannt,XLS,g
,,,,,x,,,,,,,,,,,Energie- und Wasserverbrauch in Stuttgart seit 1980 - Stadt Stuttgart,http://www.stuttgart.de/item/show/305805/1/publ/13805,nicht bekannt,XLS,c
,,,,x,,,,x,,,,,x,x,,,http://www.domino1.stuttgart.de/web/ksd/KSDRedSystem.nsf/72557906d85ac74c412569e5005d382f/33073ab2cdf8e779c12575f20031925b/$FILE/Anlage%202%20Personalbedarfsberechnung.xls,nicht bekannt,XLS,g
,,,,,,x,,,,,,,,,,,http://service.stuttgart.de/lhs-services/komunis/documents/953_1_Messen_und_Ausstellungen.XLS,nicht bekannt,XLS,b
,,,,,,,,,,,,,x,,,,http://www.stuttgart.de/publication/showpreview/13473/url/2450_1.XLS,nicht bekannt,XLS,b
x,,,,,,,,,,,,,,,,"Fortgeschriebene Einwohnerzahlen in Stuttgart 2012 nach Geschlecht, Staatsangehörigkeit, Veränderungen zum Monat des Vorjahres und Stadtbezirken  - Monatsdaten - Stadt Stuttgart",http://www.stuttgart.de/item/show/305805/1/publ/20704,nicht bekannt,XLS,c
,,,,,,,x,,,,,x,,,,,http://www.domino1.stuttgart.de/web/ksd/KSDredsystem.nsf/01622b1049bb045641256a15005a9b56/50bd00c92389f9e7c12577e40063162a/$FILE/Anlage%201%20der%20Stellungnahme%20Antrag%20273%202010.xls,nicht bekannt,XLS,b
,,,x,,,,,,,,,,,x,,,http://www.domino1.stuttgart.de/web/ksd/KSDredsystem.nsf/dc5e48bde54b0b2941256a6f0036f408/0136789018a64377c1257a8500478f27/$FILE/ATT8048Z.xls,nicht bekannt,XLS,g
,,x,,,x,,,,,,,,x,,,,http://service.stuttgart.de/lhs-services/komunis/documents/236_1.XLS,nicht bekannt,XLS,b
,x,,,,,x,,,,,,,,,,,http://www.domino1.stuttgart.de/web/ksd/KSDRedSystem.nsf/3773c106d8cc9a76c1256ad900302205/d272ecdf9ed4f945c12578c50047afc1/$FILE/Gesamtstatistik2004_2010.xls,nicht bekannt,XLS,g
,,,,,x,,,,,,,x,,,,,http://www.domino1.stuttgart.de/web/ksd/KSDRedSystem.nsf/dc5e48bde54b0b2941256a6f0036f408/5d2804a9ebd9e349c125793400317d46/$FILE/ATTXOXF9.xls,nicht bekannt,XLS,g
x,,,,,,,,,,,,x,,,,,http://www.domino1.stuttgart.de/web/ksd/KSDRedSystem.nsf/3773c106d8cc9a76c1256ad900302205/9eac95d37a5620c7c12578cb004799e9/$FILE/Anl1_GRDrs536_2011_Finanzpl_CIS.xls,nicht bekannt,XLS,g
x,,,,,,,,,,,,,,,,Haushalte in Stuttgart seit 1992 nach der Zahl der Personen - Stadt Stuttgart,http://www.stuttgart.de/item/show/143890/1/publ/13810,nicht bekannt,XLS,c
,,,,,,,x,,,,,,,,,Ergebnisse der Regionalwahlen in Stuttgart seit 1994,https://service.stuttgart.de/lhs-services/komunis/index.php?uid=99&objectid=18873,nicht bekannt,XLS,m
,,,x,,,,,,,,,,,,,"Kindeswohl: Verfahren zur Einschätzung der Gefährdung des Kindeswohls nach dem Ergebnis des Verfahrens, Geschlecht und Alter des/der Minderjährigen im regionalen Vergleich - Stadt Stuttgart",http://www.stuttgart.de/item/show/305805/1/publ/24039,nicht bekannt,XLS,c
,,,,,,,,x,,,,,,,,Ausgaben und Einnahmen nach dem Asylbewerberleistungsgesetz in Stuttgart seit 1994 nach Art der Hilfe - Stadt Stuttgart,http://www.stuttgart.de/item/show/305805/1/publ/13766,nicht bekannt,XLS,c
,,,,,,,,,,,,,x,,,Sozialversicherungspflichtig Beschäftigte in Stuttgart seit 1991 nach Wohn- und Arbeitsort (Berurspendler) - Stadt Stuttgart,http://www.stuttgart.de/item/show/305805/1/publ/13700,nicht bekannt,XLS,c
x,,,,,,,,,,,,,,,,Bevölkerungsbestand und Bevölkerungsbewegungen im Großstadtvergleich seit 1995 (Amtliche Bevölkerungsfortschreibung) - Stadt Stuttgart,http://stuttgart.de/item/show/305805/1/publ/13453,nicht bekannt,XLS,c
,,,x,,,,,,,,,,,,,"Jugendgerichtshilfe - abgeschlossene Jugendgerichtshilfefälle seit 2002 nach Geschlecht, Altersgruppen, Staatsangehörigkeit (ohne Ordnungswidrigkeiten)  in Stuttgart - Stadt Stuttgart",http://www.stuttgart.de/item/show/305805/1/publ/13551,nicht bekannt,XLS,c
,,,x,,,,,,,,,,,,,"Jugendgerichtshilfe - abgeschlossene Jugendgerichtshilfefälle seit 2002 nach Tatvorwürfen, Altersgruppen, Staatsangehörigkeit und Wohnort des Täters in den Stuttgarter Stadtbezirken - Stadt Stuttgart",http://www.stuttgart.de/item/show/305805/1/publ/13397,nicht bekannt,XLS,c
x,,,,,,,,,,,,,,,,Einwohnerbilanz in Stuttgart seit 1950 - Stadt Stuttgart,http://stuttgart.de/item/show/305805/1/publ/13648,nicht bekannt,XLS,c
,,,,,,,,,,,,,x,,,Sozialversicherungspflichtig Beschäftigte in Stuttgart seit 1980 nach Geschlecht und Staatsangehörigkeit - Stadt Stuttgart,http://www.stuttgart.de/item/show/305805/1/publ/13658,nicht bekannt,XLS,c
,,,,,,,x,,,,,x,,,,,http://www.domino1.stuttgart.de/web/ksd/KSDRedSystem.nsf/3773c106d8cc9a76c1256ad900302205/13f2938973a71447c125796800633d17/$FILE/Anlage%20zur%20GRDrs%201090_2011_Radwege.xls,nicht bekannt,XLS,g
,,,,,,,,,,,,,,x,,,http://www.domino1.stuttgart.de/web/ksd/ksdarchiv.nsf/9d028a5982ae6885c12571df0041ba4a/7dc7d00419ae6dcdc125765d0032bf69/$FILE/213_2006_Tabelle.xls,nicht bekannt,XLS,g
,,,,,x,,,,,,,,,,,,"http://www.domino1.stuttgart.de/web/ksd/KSDredsystem.nsf/dc5e48bde54b0b2941256a6f0036f408/550bbbc858e3c8c9c1257aa200318617/$FILE/Jahresabschluss%202011,%20Anlage%207a.xls",nicht bekannt,XLS,g
,,x,,,x,,,,,,,,,,,,http://www.domino1.stuttgart.de/web/ksd/KSDRedSystem.nsf/72557906d85ac74c412569e5005d382f/09e829cdb1307259c12576e80036f532/$FILE/Anlage%201%20zu%20GRDrs%20162-2010.xls,nicht bekannt,XLS,g
x,,,,,,,,,,,,,,,,Einwohner in Stuttgart seit 1986 nach Staatsangehörigkeit und Stadtbezirken - Stadt Stuttgart,http://www.stuttgart.de/item/show/143890/1/publ/13445,nicht bekannt,XLS,c
