Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,x,,,,,,,,,Bundestagswahl 2013 - Ergebnisse Erst- und Zweitstimmen in Ulm,http://daten.ulm.de/daten/single/Bundestagswahl_2013_Ergebnisse_Ulm,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,x,,,,,,,,,,,Recyclinghöfe Stadt Ulm,http://daten.ulm.de/daten/single/wertstoffhof,CC BY 3.0 DE,SHAPE,d
,,,,,,,,,x,,,,,,,Parkhäuser und P+R Stadt Ulm,http://daten.ulm.de/daten/single/parkhaeuser,CC BY 3.0 DE,SHAPE,d
,,,,,,,,,x,,,,,,,Fahrplandaten Stadtwerke Ulm (SWU),http://daten.ulm.de/datenkatalog/metadaten/fahrplandaten-stadtwerke-ulm-swu,,GTFS,d
x,,,,,,,,,,,,,,,,"Wohnbevölkerung nach Altersjahren, Staatsangehörigkeit und Geschlecht der Stadt Ulm",http://daten.ulm.de/daten/single/wohnbevölkerung-nach-altersjahren-staatsangehörigkeit-und-geschlecht-der-stadt-ulm,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,,,,,,,,,x,,,Preise und Preisindizes Statistisches Jahrbuch 2012,http://daten.ulm.de/datenkatalog/metadaten/preise-preisindizes-jahrbuch2012,CC BY 3.0 DE,"XLS,XLSX",d
x,,,,,,,,,,,,,,,,Ulm und Umland - Kennzahlen Statistisches Jahrbuch 2012,http://daten.ulm.de/datenkatalog/metadaten/ulm-und-umland-statistisches-jahrbuch-2012,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,,,,,,x,,,,,,Naturschutzgebiete der Stadt Ulm,http://daten.ulm.de/datenkatalog/metadaten/naturschutzgebiete-der-stadt-ulm,CC BY 3.0 DE,ORACLE,d
,,,,,,,,x,,,,,,,,Sozialindikatoren Sozialraum West der Stadt Ulm,http://daten.ulm.de/daten/single/sozialindikatoren-sozialraum-west-der-stadt-ulm,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,,x,,,,,,,,,,Sportkennzahlen Statistisches Jahrbuch 2012,http://daten.ulm.de/datenkatalog/metadaten/sportkennzahlen-statistisches-jahrbuch-2012,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,x,,,,,,,,,,,Gartenabfallplätze Stadt Ulm,http://daten.ulm.de/daten/single/gartenabfallplatz,CC BY 3.0 DE,SHAPE,d
,,,,,,x,,,,,,,,,,Spielplätze mit Trainingsgeräten für Senioren,http://daten.ulm.de/daten/single/spielplaetze-seniorentrainingsgeraete,CC BY 3.0 DE,SHAPE,d
,,,,,,,x,,,,,,,,,Wahlkreis 291 Ulm - Karte der Gemeinden,http://daten.ulm.de/daten/single/karte-der-wahlkreis291,CC BY 3.0 DE,PDF,d
,,,,,,,,x,,,,,,,,Sozialindikatoren Sozialraum Wiblingen der Stadt Ulm,http://daten.ulm.de/datenkatalog/SOZR_sozialraumindikatoren_wiblingen,CC BY 3.0 DE,"XLS,XLSX",d
x,,,,,,,,,,,,,,,,Vornamensstatistik der Stadt Ulm,http://daten.ulm.de/datenkatalog/metadaten/vornamensstatistik,CC BY 3.0 DE,CSV,d
,,,,,,x,,,,,,,,,,Schwimmbäder und Badeseen Stadt Ulm,http://daten.ulm.de/daten/single/baeder-seen,CC BY 3.0 DE,SHAPE,d
x,,,,,,,,,,,,,,,,"Vorausrechnungsgebiete der Stadt Ulm, generalisiert",http://daten.ulm.de/daten/single/vorausrechnungsgebiete,CC BY 3.0 DE,SHAPE,d
,,,,,x,,,,,,,,,,,Bauschuttdeponie Stadt Ulm,http://daten.ulm.de/daten/single/bauschuttdeponie,CC BY 3.0 DE,SHAPE,d
,x,,,,,,,,,,,,,,,"Schulwesen, Schüler, Studierende Statistisches Jahrbuch 2012",http://daten.ulm.de/datenkatalog/metadaten/schulwesen-statistisches-jahrbuch-2012,CC BY 3.0 DE,"XLS,XLSX",d
,,x,,,,,,,,,,,,,,"Stadtgrenze Stadt Ulm, generalisiert",http://daten.ulm.de/daten/single/stadtgrenze-generalisiert,CC BY 3.0 DE,SHAPE,d
,,x,,,,,,,,,,,,,,"Stadtviertel der Stadt Ulm, generalisiert",http://daten.ulm.de/daten/single/stadtviertel-generalisiert,CC BY 3.0 DE,SHAPE,d
,,,,,,,,,,,,,x,,,Betriebe und Beschäftigte im vearbeitenden Gewerbe der Stadt Ulm,http://daten.ulm.de/daten/single/betriebe-und-beschäftigte-im-vearbeitenden-gewerbe-der-stadt-ulm,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,,,,,,,,x,,,,Steuern und Finanzen Statistisches Jahrbuch 2012,http://daten.ulm.de/datenkatalog/metadaten/steuern-finanzen-statistisches-jahrbuch-2012,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,,x,,,,,,,,,,Spiel- und Bolzplatzflächen in den Stadtteilen der Stadt Ulm,http://daten.ulm.de/daten/single/spiel-und-bolzplatzflächen-den-stadtteilen-der-stadt-ulm,CC BY 3.0 DE,CSV,d
,,,,,,x,,,x,,,,,,,"Unterwegs in Ulm, die 60 Ulmer Spazierwege",http://daten.ulm.de/datenkatalog/metadaten/unterwegs-in-ulm,,AI,d
,,,,,,,x,,,,,,,,,Wahllokale der Stadt Ulm (Karte),http://daten.ulm.de/daten/single/wahllokale-uebersichtskarte,CC BY 3.0 DE,PDF,d
,,,,,,x,,,,,,,,,,Spielplätze Stadt Ulm,http://daten.ulm.de/daten/single/spielplaetze-oeffentliche,CC BY 3.0 DE,SHAPE,d
,,,,,,,,,,x,,,,,,"Allgemeine Informationen Stadtgebiet, Naturverhältnisse Statistisches Jahrbuch 2012",http://daten.ulm.de/datenkatalog/metadaten/stadtgebiet-jahrbuch2012,CC BY 3.0 DE,"XLS,XLSX",d
,x,,,,,,,,,,,,,,,"Klassen, Schülerzahlen, Unterrichtsräume und Lehrkräfte an öffentlichen allgemeinbildenden Schulen der Stadt Ulm",http://daten.ulm.de/daten/single/klassen-schülerzahlen-unterrichtsräume-und-lehrkräfte-öffentlichen-allgemeinbildenden,CC BY 3.0 DE,"XLS,XLSX",d
x,,,,,,,,x,,,,,,,,Sozialdaten Statistisches Jahrbuch 2012,http://daten.ulm.de/datenkatalog/metadaten/soziales-statistisches-jahrbuch-2012,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,,x,,,,,,,,,,Schmetterlingsweg,http://daten.ulm.de/daten/single/schmetterlingsweg,CC BY 3.0 DE,SHAPE,d
x,,,,,,,,,,,,,,,,Wohnbevölkerung nach Migrationshintergrund in Stadtvierteln der Stadt Ulm,http://daten.ulm.de/daten/single/wohnbevölkerung-nach-migrationshintergrund-stadtvierteln-der-stadt-ulm,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,x,,,,,,,,,,,Bebauungsplanbereiche,http://daten.ulm.de/daten/single/bplanbereiche,,SHAPE,d
x,,,,,,,,,,,,,,,,Bevölkerungsdaten Statistisches Jahrbuch 2012,http://daten.ulm.de/datenkatalog/metadaten/bevoelkerungsdaten-jahrbuch2012,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,,,,x,,,,,,,,"Sozialraumgrenzen Stadt Ulm, generalisiert",http://daten.ulm.de/daten/single/sozialraumgrenzen-stadt-ulm-generalisiert,CC BY 3.0 DE,SHAPE,d
,,,,,,,x,,,,,,,,,Gemeinderatswahlergebnis 2014 Stadt Ulm,http://daten.ulm.de/datenkatalog/metadaten/gemeinderatswahl_2014,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,,x,,,,,,,,,,"Aktionsdaten ""Mein Lieblingsplatz"" Bürger digitalisieren für die Stadt Ulm",http://daten.ulm.de/daten/single/map-it-lieblingsplatz,CC BY 3.0 DE,SHAPE,d
,,x,,,,,,,,,,,,,,Stadtviertel und Ortsteile der Stadt Ulm (Karte),http://daten.ulm.de/daten/single/karte-der-stadtviertel-und-ortsteile-der-stadt-ulm,CC BY-NC-ND 3.0 DE,PDF,d
,,,,,,,,x,,,,,,,,Sozialindikatoren Sozialraum Eselsberg der Stadt Ulm,http://daten.ulm.de/daten/single/sozialindikatoren-sozialraum-eselsberg-der-stadt-ulm,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,,,,,x,,,,,,,OpenStreetMap-ÖPNV-Straßenbahnhaltestellen,http://daten.ulm.de/datenkatalog/metadaten/openstreetmap-tramhaltestellen,,WMS,d
,,x,,,,,,,,,,,,,,Orthobilder 2013 der Stadt Ulm,http://daten.ulm.de/daten/single/orthobilder-2013-der-stadt-ulm,,TIFF,d
,,,,,,,,,,x,,,,,,Landschaftsschutzgebiete der Stadt Ulm,http://daten.ulm.de/daten/single/landschaftsschutzgebiete_ulm,CC BY 3.0 DE,ORACLE,d
,,,,,,,x,,,,,,,,,Wahllokale der Stadt Ulm,http://daten.ulm.de/daten/single/wahllokale,CC BY 3.0 DE,SHAPE,d
,,,,,,,x,,,,,,,,,Wahlbezirke (tabellarisch) der Stadt Ulm,http://daten.ulm.de/datenkatalog/metadaten/wahlbezirke-tabelle,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,,,x,,,,,,,,,Europawahl 2014 - Ergebnisse in Ulm,http://daten.ulm.de/daten/single/Europawahl_2014_Ergebnisse_Ulm,CC BY 3.0 DE,"XLS,XLSX",d
x,,,,,,,,,,,,,,,,"Wohnbevölkerung nach Geschlecht, Konfession und Familienstand in Stadtteilen der Stadt Ulm",http://daten.ulm.de/daten/single/wohnbevölkerung-nach-geschlecht-konfession-und-familienstand-stadtteilen-der-stadt-ulm,CC BY 3.0 DE,"XLS,XLSX",d
,x,,,,,x,,,,,,,,,,Kulturelle Einrichtungen Kennzahlen Statistisches Jahrbuch 2012,http://daten.ulm.de/datenkatalog/metadaten/kulturelle-einrichtungen-statistisches-jahrbuch-2012,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,x,,,,,,,,,,,Bau- und Wohnungswesen Statistisches Jahrbuch 2012,http://daten.ulm.de/datenkatalog/metadaten/bau-wohnungswesen-statistisches-jahrbuch-2012,CC BY 3.0 DE,"XLS,XLSX",d
,,x,,,,,,,,,,,,,,OpenStreetMap - mapnik,http://daten.ulm.de/datenkatalog/metadaten/openstreetmap-mapnik,,POSTGRESQL,d
,,,,,,,,,,,,x,,,,Landes- und Bundessteuern: Steueraufkommen beim Finanzamt Ulm,http://daten.ulm.de/daten/single/landes-und-bundessteuern-steueraufkommen-beim-finanzamt-ulm,CC BY 3.0 DE,"XLS,XLSX",d
,,,x,,,,,,,,,,,,,Öffentliche Sicherheit Kennzahlen Statistisches Jahrbuch 2012,http://daten.ulm.de/datenkatalog/metadaten/sicherheit-oeffentliche-statistisches-jahrbuch-2012,CC BY 3.0 DE,"XLS,XLSX",d
,,,,,,x,,,x,,,,,,,Amtliche Radkarte Stadt Ulm,http://daten.ulm.de/daten/single/amtliche-radkarte-stadt-ulm,,AI,d
,,,x,,,,,,,,,,,,,Straftaten in Ulm nach Deliktgruppen,http://daten.ulm.de/daten/single/straftaten-ulm-nach-deliktgruppen,CC BY 3.0 DE,CSV,d
,,,,,,,x,,,,,,,,,Bundestagwahl 2013 Stadt Ulm (Ergebniskarten),http://daten.ulm.de/daten/single/bundestagswahl2013-karten,CC BY 3.0 DE,PDF,d
