Dateibezeichnung,URL,Lizenz,Format,Quelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Verwaltung,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert
Urbar - Ebene: Weiße Wiese,http://www.daten.rlp.de/dataset/4832829d-4f6f-4caa-8827-af33897ac354,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Urbar - Ebene: Flächennutzungsplan der Verbandsgemeinde Vallendar (Ortsgemeinde Urbar),http://www.daten.rlp.de/dataset/3fb8daff-0623-40f9-968e-a09aa4a19237,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Urbar - Ebene: Hinter der Ziegelhütte,http://www.daten.rlp.de/dataset/e5c03b83-9508-4f6a-9002-f7b68ef89eb1,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Urbar - Ebene: Am Kammrädchen 3. Änderung,http://www.daten.rlp.de/dataset/a7cab839-6155-4a2e-9c45-9cb3e7ba6d3c,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Urbar - Ebene: Auf dem Sand II 1. Änderung,http://www.daten.rlp.de/dataset/3d368c8c-488d-4090-90f0-2c55ab1ef88e,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Urbar - Ebene: Umringe der Bebauungspläne von Urbar,http://www.daten.rlp.de/dataset/dea84d53-3b02-49ea-9b3c-a460621d9e5b,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Urbar - Ebene: Am Kammrädchen 1. Änderung,http://www.daten.rlp.de/dataset/15d77dfc-78d1-4e88-b631-22dd6d618e3b,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Urbar - Ebene: Am Sportplatz,http://www.daten.rlp.de/dataset/12acbeb7-793b-4f62-b482-62040d42926b,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Urbar - Ebene: Hauptstraße,http://www.daten.rlp.de/dataset/61679823-618a-487f-83ce-48269d28dca1,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Urbar - Ebene: Hinter der Ziegelhütte 2. Änderung,http://www.daten.rlp.de/dataset/8cd2ee9c-5b66-4f86-9dcc-ffe7bd318e6a,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Urbar - Ebene: Ergänzungssatzung Am Rheinblick,http://www.daten.rlp.de/dataset/302118c9-5324-41e6-90c5-011fd01cf599,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
