Dateibezeichnung,URL,Lizenz,Format,Quelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Verwaltung,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert
Vallendar - Ebene: Vallendar,http://www.daten.rlp.de/dataset/c263b4cd-045c-4511-8a1c-dec2dee3acb4,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Weitersburg - Ebene: Weitersburg,http://www.daten.rlp.de/dataset/b7b2672c-81e8-4998-9426-96526ac3e9f5,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Auf der Zehn Teilgebiet 4. Änderung,http://www.daten.rlp.de/dataset/b0b8cad1-3380-46f6-bba1-0f10e090baa7,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Merbachtal,http://www.daten.rlp.de/dataset/cd26819e-29a1-4fc5-9b95-f05e4648dbe4,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Merbachtal 2. Änderung,http://www.daten.rlp.de/dataset/cbda92ae-0199-4be8-a596-08de64c83cfe,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Hellenstr. / Wilhelm-Ross-Str.,http://www.daten.rlp.de/dataset/ef71d361-29c7-4db4-a905-ef7a72fa8fa6,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Stadtkern Vallendar Planbereich 1.1 Nord Berners Brauerei,http://www.daten.rlp.de/dataset/5293da85-03e1-4a83-a817-107ae3fc32b0,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Marienburg 3. Änderung,http://www.daten.rlp.de/dataset/328099b3-4579-4c1b-9ff3-9c17e467f04a,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Mallendarer Bachtal 1. Änderung,http://www.daten.rlp.de/dataset/78038dfe-2f83-4587-a56a-94cf913f4c4d,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Ortskern Mallendar 1. Änderung 2. Änderung,http://www.daten.rlp.de/dataset/bb559c9d-12e3-4ab9-aae0-070cc5bf3cb5,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Gut Mallendarer Berg Heidepark,http://www.daten.rlp.de/dataset/80071195-c77d-4504-a811-512e15fe9ba7,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Auf der Insel / Unterm Goessel 2. Änderung,http://www.daten.rlp.de/dataset/c905f859-8515-4c4a-8857-c7aad12c10e8,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
"Vallendar - Ebene: Auf dem kleinen Hühnerberg Konfessionelle Einrichtung, Jugendbildung",http://www.daten.rlp.de/dataset/519b0a24-70ad-417e-b90e-d2e1d748b6db,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Welchesloch/Keppershohl,http://www.daten.rlp.de/dataset/a7388599-fb8c-4f15-b71e-ded32ad0c2ed,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Mallendarer Bachtal 2. Änderung,http://www.daten.rlp.de/dataset/67fddf1d-4709-4f3b-af61-20f35f75a004,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Mallendarer Bachtal,http://www.daten.rlp.de/dataset/305e5ce8-3350-483d-9da7-745b7db0e1bd,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Wohnanlage Schubertstraße,http://www.daten.rlp.de/dataset/bb6387a4-804a-4a18-b94b-fe80c6da7265,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Vallendar - Ebene: Kirchstraße,http://www.daten.rlp.de/dataset/66875213-9926-4849-8140-3370a913b3fe,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
