Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, VG-Ebene, Landkreis Birkenfeld -",http://www.daten.rlp.de/dataset/115ba444-415d-44c0-a2a0-8cddb125fd7b,dl-de-by-1.0,PDF,d
,x,,,,,,,,,,,,,,,"Datenkompass – Erziehung und Bildung, Landkreis Birkenfeld –",http://www.daten.rlp.de/dataset/01bdc75a-4604-4dd7-8709-1cdf7697dbc3,dl-de-by-1.0,PDF,d
,,,,,,x,,,,,,,,,,"Datenkompass – Tourismus, Landkreis Birkenfeld –",http://www.daten.rlp.de/dataset/f805625d-077c-41db-a2f2-e2424ecb645d,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Arbeitsmarkt, Erwerbstätigkeit, Landkreis Birkenfeld –",http://www.daten.rlp.de/dataset/cdf76a73-d107-430e-a6ec-36faffa29261,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Datenkompass - Bevölkerung und Gebiet, Haushalte und Familien, Landkreis Birkenfeld -",http://www.daten.rlp.de/dataset/19b7f897-0876-48cb-abe8-1445ae1d3df9,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaft, Landkreis Birkenfeld –",http://www.daten.rlp.de/dataset/400231c2-92ef-418e-af25-0fad725ea0b3,dl-de-by-1.0,PDF,d
,,,,x,,,,x,,,,,,,,"Datenkompass – Soziales und Gesundheit, Landkreis Birkenfeld –",http://www.daten.rlp.de/dataset/af9bbc7a-6485-4b9e-9e5c-397aa3310911,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaftliche Entwicklungspotenziale, Landkreis Birkenfeld –",http://www.daten.rlp.de/dataset/e503127d-9d61-452d-b91a-29a6fe9fbffe,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, Landkreis Birkenfeld -",http://www.daten.rlp.de/dataset/013be5f3-3896-4002-83a5-6aaf7ba0c2d1,dl-de-by-1.0,PDF,d
,,,,,,,,,x,,,,,,,Langzeitzählstelle auf der B 41 in Birkenfeld,http://www.daten.rlp.de/dataset/636bd309-b540-4f66-8bcf-bc4c3a2dd44c,dl-de-by-1.0,PDF,d
