Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,x,,,,,,,,,,,,,,Niedert - Ebene: Umringe der Bebauungspläne von Niedert,http://www.daten.rlp.de/dataset/e5e03f7b-0524-45ee-b19f-c59e4d1c575e,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Emmelshausen - Ebene: Hinter dem Agrarhistorischen Museum,http://www.daten.rlp.de/dataset/15e2ce72-a63b-45f5-8fee-0add07227341,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Halsenbach - Ebene: Ober dem Ehrer Weg 1. Änderung,http://www.daten.rlp.de/dataset/cee04566-fe64-4e4f-b50e-b156cb0d2b19,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Thörlingen - Ebene: Umringe der Bebauungspläne von Thörlingen,http://www.daten.rlp.de/dataset/37685c26-102a-4185-a71e-732071c1cbe6,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,Birkheim - Ebene: Birkheim,http://www.daten.rlp.de/dataset/f053768d-50ce-47b5-8ae4-e530950d2a8d,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Bickenbach - Ebene: Auf der Trift / Ober dem Dorf 2. Änderung,http://www.daten.rlp.de/dataset/9322d71d-ce1a-4436-9b8d-93e43c05ee3f,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Gondershausen - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/5f3eb21f-b0e8-4743-8e24-ce8ad1ae72d8,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Pfalzfeld - Ebene: Auf den Hofgärten / Am Scheid,http://www.daten.rlp.de/dataset/e387280e-aa0b-4d51-b6a0-85392b7c67bc,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Pfalzfeld - Ebene: Auf den Hofgärten / Am Scheid 1. Änderung,http://www.daten.rlp.de/dataset/09cc23d4-f9a8-45d3-89a7-81d9b8af0c35,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Pfalzfeld - Ebene: Hinter dem Mühlberg / In der Scheib 2. Änderung,http://www.daten.rlp.de/dataset/0caade6a-c14f-4d83-8384-27c309bc92da,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Maisborn - Ebene: Ergänzungssatzung Auf der Neuwies,http://www.daten.rlp.de/dataset/9c811f8b-df55-4b80-bd40-dea0b5aad051,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Beulich - Ebene: Abrundungssatzung Ortsausgang Morshausen,http://www.daten.rlp.de/dataset/3087d096-07e6-458e-a546-159362790c8e,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Bickenbach - Ebene: Bickenbach,http://www.daten.rlp.de/dataset/9f1b0c27-23ba-42cd-abd6-6f75acc06df9,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Badenhard - Ebene: Abrundungssatzung Maus,http://www.daten.rlp.de/dataset/3d6f8459-fe9d-4b63-835b-0781bd278b07,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Halsenbach - Ebene: Sondergebiet Katz,http://www.daten.rlp.de/dataset/e1cfa3b4-2b54-48c2-8697-86d8ebf74c7a,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Halsenbach - Ebene: Ober dem Ehrer Weg,http://www.daten.rlp.de/dataset/4e6a1984-0175-4929-8e2c-f4960b908616,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Dörth - Ebene: Südhang,http://www.daten.rlp.de/dataset/f72ea6a5-d710-41b9-b5d4-2963946de217,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Mermuth - Ebene: Mermuth,http://www.daten.rlp.de/dataset/5f407903-0390-41dd-8ddd-4c4b7263f671,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Karbach - Ebene: Ober den Kohlgärten,http://www.daten.rlp.de/dataset/a9c0fcab-e900-481a-aae0-afc549028c23,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Halsenbach - Ebene: Abrundungssatzung Ehrerheider Straße,http://www.daten.rlp.de/dataset/dd4d8229-1d81-44c1-a4b7-36061b660851,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Ney - Ebene: In den Schmidtstücken II 1. Änderung,http://www.daten.rlp.de/dataset/a9e18776-415e-4d04-aefc-de1d46fb1491,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Birkheim - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/839f5836-15d6-4c73-84db-2a73cbb2cbbf,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Leiningen - Ebene: Quellenhof,http://www.daten.rlp.de/dataset/c63b27ba-1670-41f2-9690-b227f9c20d37,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Beulich - Ebene: Beulich,http://www.daten.rlp.de/dataset/79ef4728-6663-44c8-8a9b-08453dfb0dff,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,Niedert - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/4d3e612d-d36a-4fe4-8823-1c203f1f0bca,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Karbach - Ebene: Heidchesstücker II,http://www.daten.rlp.de/dataset/11d026a7-9437-47f1-bc04-d6f18b6dcbab,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Thörlingen - Ebene: Im Heßt II,http://www.daten.rlp.de/dataset/77e7e6ac-1120-482e-b636-040029eeccbb,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Emmelshausen - Ebene: Schul- und Sportzentrum 4. Änderung,http://www.daten.rlp.de/dataset/bdc4d20c-21a5-4d5b-8919-e89a55c66963,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Karbach - Ebene: Ober den Kohlgärten 3. Änderung,http://www.daten.rlp.de/dataset/4f8f8488-8cda-4437-80f3-2845de797719,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Schwall - Ebene: Schwall,http://www.daten.rlp.de/dataset/3d2670a8-63ec-4f35-bc18-7eaf76ae7824,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Bickenbach - Ebene: Gewerbegebiet Am Bayer Wasem,http://www.daten.rlp.de/dataset/520c5813-dce5-4c30-94e1-774cdfee8cb7,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Morshausen - Ebene: In den Pützgärten,http://www.daten.rlp.de/dataset/4add36db-cb94-4396-8899-1cc982d182d3,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Lingerhahn - Ebene: Stierswiese,http://www.daten.rlp.de/dataset/aaf267fb-ebdc-47da-b4f1-e257fc197f64,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Birkheim - Ebene: Baumstücken,http://www.daten.rlp.de/dataset/de819571-5984-4076-b3ad-adcb4775578e,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Halsenbach - Ebene: Halsenbach,http://www.daten.rlp.de/dataset/573039da-f70d-464f-9803-6ade357ee1e3,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Emmelshausen - Ebene: Am Kirchweg,http://www.daten.rlp.de/dataset/0dc12ff4-367d-45c6-9ba4-12365d2d659e,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Emmelshausen - Ebene: Oberdorf I,http://www.daten.rlp.de/dataset/a51932ca-93ea-4494-8fa0-1f4d2beb48a8,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Norath - Ebene: Am Holzapfelbaum II,http://www.daten.rlp.de/dataset/aaa0160e-e852-4f02-bf9e-848ccbe1429a,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Gondershausen - Ebene: Harder Delle 1. Änderung,http://www.daten.rlp.de/dataset/e82ccc33-3071-4f10-9bb5-1281f1995193,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Emmelshausen - Ebene: Hinter dem Agrarhistorischen Museum 1. Änderung,http://www.daten.rlp.de/dataset/f521a4e4-7e79-4609-9a0f-61bc12c91926,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Schwall - Ebene: Umringe der Bebauungspläne von Schwall,http://www.daten.rlp.de/dataset/459633d4-50e7-49bd-81b1-cc9d962a5a3d,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,Bickenbach - Ebene: Umringe der Bebauungspläne von Bickenbach,http://www.daten.rlp.de/dataset/adae0881-a406-40d1-8f97-541a33ab6cf7,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Emmelshausen - Ebene: Schul- und Sportzentrum 1. Änderung,http://www.daten.rlp.de/dataset/52ec623d-5ea9-46a3-a4df-a77adf3d13c3,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Emmelshausen - Ebene: Henchen II 1. Änderung,http://www.daten.rlp.de/dataset/72168ab1-06f8-4299-9ce7-f767bb83e2d0,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Karbach - Ebene: Apfelwies / Stielgärtchen 1. Änderung,http://www.daten.rlp.de/dataset/74d4d87d-ce0d-49e7-908a-9e3f7511da99,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Dörth - Ebene: Klarstellungs- und Ergänzungssatzung Südhang,http://www.daten.rlp.de/dataset/2bbddf74-2f3b-4933-ab31-f41be52c6d74,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Emmelshausen - Ebene: Schul- und Sportzentrum 7. Änderung,http://www.daten.rlp.de/dataset/7ce3c578-572b-4a72-85a0-34ecba128f69,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Emmelshausen - Ebene: Henchen II,http://www.daten.rlp.de/dataset/6a5bcae0-0f65-41d3-ab9d-1a761f021d5c,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Dörth - Ebene: Umringe der Bebauungspläne von Dörth,http://www.daten.rlp.de/dataset/0a1c44f5-e94d-4c1d-9480-104be265cf27,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Lingerhahn - Ebene: Stierswiese 1. Änderung,http://www.daten.rlp.de/dataset/3abb43ae-f581-4f96-b304-6a47af575d6f,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Ney - Ebene: Ergänzungssatzung Wiesenstraße / Kratzenburger Straße,http://www.daten.rlp.de/dataset/17a9736e-b719-4efb-a8ad-1f22169bd0eb,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Emmelshausen - Ebene: Henchen II 2. Änderung,http://www.daten.rlp.de/dataset/99f3ee94-3848-4eee-aed7-b1a397e113d9,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Emmelshausen - Ebene: Schul- und Sportzentrum 5. Änderung,http://www.daten.rlp.de/dataset/69ff5f86-ad5a-4fc0-8e68-2d1587d3bbdc,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Maisborn - Ebene: Hinter den Hopfengärten II,http://www.daten.rlp.de/dataset/2dbe339b-691f-4d37-b296-e9a3a1f16cc4,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Maisborn - Ebene: Umringe der Bebauungspläne von Maisborn,http://www.daten.rlp.de/dataset/0031de0c-cc3e-4654-9a40-c27025f691a4,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Emmelshausen - Ebene: Ortsmittelpunkt 1. Änderung,http://www.daten.rlp.de/dataset/3ff4d5b3-d38b-458e-85b4-ba06bfc50611,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Karbach - Ebene: Umringe der Bebauungspläne von Karbach,http://www.daten.rlp.de/dataset/4c2264b3-5805-4ed9-8f81-401a4e57fe72,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Beulich - Ebene: In den Mühlwiesgärten,http://www.daten.rlp.de/dataset/e04d0a2e-1b0f-4ff2-b72c-fabdc70889bd,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
