Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,x,x,,,,,,,,,,,,,,Lahr - Ebene: Blenzenstück 2. Änderung,http://www.daten.rlp.de/dataset/c0054318-1856-4cf0-9cdd-90eb5b6bf6fb,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Lahr - Ebene: Blenzenstück,http://www.daten.rlp.de/dataset/16f37f6b-3647-41cd-9ad7-d216d47f6352,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Alterkülz - Ebene: Alterkülz,http://www.daten.rlp.de/dataset/a6b35b6f-7b93-4293-a652-c55efed37a1a,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Mastershausen - Ebene: Bei Lottehäuschen,http://www.daten.rlp.de/dataset/3ced6a61-0f8c-4291-a5e8-64c6ea3a14f4,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Braunshorn - Ebene: Umringe der Bebauungspläne von Braunshorn,http://www.daten.rlp.de/dataset/f2e94233-5dea-489c-8ff4-2f85ee66b864,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Mörsdorf - Ebene: Südlicher und östlicher Ortsrand - Abschnitt I,http://www.daten.rlp.de/dataset/42f61ad3-cd24-4a7b-b6a2-b620c0549e77,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Kastellaun - Ebene: Verkehrsknotenpunkt B327 / L204 / Südtangente,http://www.daten.rlp.de/dataset/5ea71794-0106-406c-968a-c61b3af07c6d,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Hollnich - Ebene: Auf dem Hasslerborn / In der Warwies,http://www.daten.rlp.de/dataset/a530a92f-d397-4ac9-85fb-553c7a70a5bc,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Kastellaun - Ebene: Industriegebiet IX B 2. Änderung,http://www.daten.rlp.de/dataset/841e0a75-91ba-4c1d-b18f-e327485387a0,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Beltheim - Ebene: Schreinerei Busch,http://www.daten.rlp.de/dataset/30262dfd-100b-4558-8c32-47da430a646b,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Zilshausen - Ebene: Umringe der Bebauungspläne von Zilshausen,http://www.daten.rlp.de/dataset/fb9d3e88-260f-475d-b577-04eb2a94780c,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Lahr - Ebene: Auf der oberen Flur,http://www.daten.rlp.de/dataset/a62943c2-c936-455d-af01-ebd8f13c7c6d,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Beltheim - Ebene: Biomasseheizkraftwerk Mannebach,http://www.daten.rlp.de/dataset/c71287ba-faa0-4c8e-a61e-8b977132e6eb,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Mastershausen - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/1b16da64-68f7-4c7a-8bb9-e8085b443784,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Kastellaun - Ebene: Industriegebiet IX B 3. Änderung,http://www.daten.rlp.de/dataset/3e1bf89d-9492-4e4f-82e9-b80b1b315154,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Kastellaun - Ebene: Industriegebiet IX A 2. Änderung,http://www.daten.rlp.de/dataset/6da27e6e-5c47-4a12-a91e-7fdba5c96fbf,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Mastershausen - Ebene: Einbeziehungssatzung Gewerbegebiet Schienhengst,http://www.daten.rlp.de/dataset/4b8ea7a0-d605-4215-a753-de5edf35cff8,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Dommershausen - Ebene: Abrundungssatzung Dorweiler / Eveshausen,http://www.daten.rlp.de/dataset/476c6081-75fa-4835-ad37-5e4d1df4e8ca,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Uhler - Ebene: Gewerbegebiet,http://www.daten.rlp.de/dataset/17b5c60d-77e6-477f-acd3-de89d707fb5c,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Kastellaun - Ebene: Erhaltungssatzung Ortskern,http://www.daten.rlp.de/dataset/e658ad14-5991-439e-bd82-956a2d8c9e3d,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Kastellaun - Ebene: Industriegebiet IX B 1. Änderung,http://www.daten.rlp.de/dataset/12a6d4a7-fa86-43ef-9c07-22f5db7c6158,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Buch - Ebene: Abrundungssatzung Mörz,http://www.daten.rlp.de/dataset/48d22267-bbd9-411f-82bd-df24ee95dffb,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Roth - Ebene: Im Rother Flur 1. Änderung,http://www.daten.rlp.de/dataset/8bf07673-b023-4fda-9f81-b0c8737018ac,,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Beltheim - Ebene: Gewerbegebiet II,http://www.daten.rlp.de/dataset/ddad9264-156a-46f9-bd3a-d1fce1067480,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Lahr - Ebene: Blenzenstück 1. Änderung,http://www.daten.rlp.de/dataset/b098a220-1a87-4dcb-9b0f-dc506b87e64f,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Dommershausen - Ebene: Abrundungssatzung Dommershausen,http://www.daten.rlp.de/dataset/8a52c65f-f84f-46ff-97f5-d5408832c7c3,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Hasselbach - Ebene: Umringe der Bebauungspläne von Hasselbach,http://www.daten.rlp.de/dataset/046a9c85-14dc-4eb5-b917-3b2ef556e623,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Beltheim - Ebene: Auf dem Bauerweg II,http://www.daten.rlp.de/dataset/fdbdc002-b8b2-467d-b5ae-4b60f79ebf43,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Kastellaun - Ebene: Industriegebiet IX A 3. Änderung,http://www.daten.rlp.de/dataset/63547e52-2a7b-431d-a504-e8ba78c30ada,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Dommershausen - Ebene: Dommershausen,http://www.daten.rlp.de/dataset/9039c704-22f5-44f0-8f6c-a523ccde697e,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Kastellaun - Ebene: Kleiner Rehberg XVII 1. Änderung,http://www.daten.rlp.de/dataset/473f5c94-d6b1-4ce5-aec5-09e96646b7fb,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Hollnich - Ebene: Umringe der Bebauungspläne von Hollnich,http://www.daten.rlp.de/dataset/7353bf14-e3d9-444e-9c9c-e0a4a4cb1f04,cc-nc,"KARTENVIEWER,WMS,HTML",d
