Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,x,,,,x,,,,,,,,"Datenkompass – Soziales und Gesundheit, Landkreis Kusel –",http://www.daten.rlp.de/dataset/82bad4c2-506c-48ba-848e-48a1a0d1e4ba,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaft, Landkreis Kusel –",http://www.daten.rlp.de/dataset/bcd436eb-8b40-4108-9fee-aa0633ae21e2,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaftliche Entwicklungspotenziale, Landkreis Kusel –",http://www.daten.rlp.de/dataset/216a96c1-bbfe-47a1-bd1b-834750bef684,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Datenkompass – Bevölkerung und Gebiet, Haushalte und Familien, Landkreis Kusel –",http://www.daten.rlp.de/dataset/53439c23-4bce-4e76-9b65-7b33136ebf36,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, Landkreis Kusel -",http://www.daten.rlp.de/dataset/b8c01aad-2d0d-47ad-a2e8-6a54cf0baf1c,dl-de-by-1.0,PDF,d
,,,,,,x,,,,,,,,,,"Datenkompass – Tourismus, Landkreis Kusel –",http://www.daten.rlp.de/dataset/9f9c2068-74e2-4ea1-bfd9-bf0b4f3be242,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, Landkreis Kusel -",http://www.daten.rlp.de/dataset/d85f38d0-d9b5-493a-baf6-2f2271296b1a,dl-de-by-1.0,,d
,x,,,,,,,,,,,,,,,"Datenkompass – Erziehung und Bildung, Landkreis Kusel –",http://www.daten.rlp.de/dataset/a1f597ea-7c6d-4c31-92f4-f9b6c4e8b572,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, VG-Ebene, Landkreis Kusel -",http://www.daten.rlp.de/dataset/aa8cf096-96fc-48a4-93bf-cbb5dee758e2,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Arbeitsmarkt, Erwerbstätigkeit, Landkreis Kusel –",http://www.daten.rlp.de/dataset/6ab5d5cc-d73f-47e1-a064-29b599d921a4,dl-de-by-1.0,PDF,d
