Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,x,x,,,,,,,,,,,,,,Mörschbach - Ebene: Hinter dem Graben,http://www.daten.rlp.de/dataset/da0eb9d9-573d-49e8-9766-bb0ce2fd2783,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Riesweiler - Ebene: Baugebiet V,http://www.daten.rlp.de/dataset/e8346053-bc4e-4906-8d11-792411a13d74,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Rheinböllen - Ebene: Auf der Bell / Oben auf´m Wehr,http://www.daten.rlp.de/dataset/5a7201b7-8ffc-4124-8873-a6a7439782fd,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,"Riesweiler - Ebene: Auf´m Hahnacker, Rechtsplan Teil I 1. Änderung",http://www.daten.rlp.de/dataset/12de2087-98e1-4fcf-b17d-972917c299f8,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Argenthal - Ebene: Am Südhang,http://www.daten.rlp.de/dataset/ec4a24d7-7123-4198-86c4-e74ad17d0d09,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,"Riesweiler - Ebene: Auf´m Hahnacker, Rechtsplan Teil I 3. Änderung",http://www.daten.rlp.de/dataset/2d16fa00-c849-4d28-aae4-237ff1016518,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Riesweiler - Ebene: Baugebiet V 1. Änderung,http://www.daten.rlp.de/dataset/f9577b5d-a8f4-4220-acc9-68614f8cf8b6,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Argenthal - Ebene: Am Südhang 1. Änderung,http://www.daten.rlp.de/dataset/06475b55-d6bf-4de6-b073-08155e8a83cf,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Riesweiler - Ebene: Umringe der Bebauungspläne von Riesweiler,http://www.daten.rlp.de/dataset/74455372-5785-411d-973c-66726e84a8a5,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Erbach - Ebene: Hinter dem Dorf,http://www.daten.rlp.de/dataset/e099eadb-17cb-48af-88f2-10723eea3f57,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Steinbach - Ebene: Auf dem Kuhstück 1. Änderung,http://www.daten.rlp.de/dataset/fc9b828c-d9ad-4217-b498-8e4b4e448186,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,"Schnorbach - Ebene: Schnorbach Süd, IV. Bauabschnitt",http://www.daten.rlp.de/dataset/f4c07059-8bc7-4e5d-9961-f05a0aa44675,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Dichtelbach - Ebene: Dichtelbach,http://www.daten.rlp.de/dataset/eafc55fe-4788-48c7-8c76-07936af17fd0,cc-nc,"KARTENVIEWER,WMS,HTML",d
