Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,x,x,,,,,,,,,,,,,,Laudert - Ebene: Ergänzungssatzung Ober der Mühlwies,http://www.daten.rlp.de/dataset/747f4a91-e042-4b70-8cbd-559f135be2cf,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/6fa92ba6-3f82-4695-a6f2-a1218386f0e4,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Damscheid - Ebene: Im Taubhaus II,http://www.daten.rlp.de/dataset/6c775a85-56f6-43d1-a2cf-ee9179ed58db,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Gesamtbebauungsplan Biebernheim 2. Änderung,http://www.daten.rlp.de/dataset/67ae264d-a6b9-41dd-b915-776bab1f7891,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Gesamtbebauungsplan Biebernheim 1. Änderung,http://www.daten.rlp.de/dataset/0b73aefb-84df-4a46-9c86-ae5085d7ea66,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: In der Pfingstwiese 1. Änderung,http://www.daten.rlp.de/dataset/0bee75ec-9f3c-4eb5-992d-ec52fb5138dd,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Damscheid - Ebene: Betzwinkel,http://www.daten.rlp.de/dataset/a3e4e749-ee1a-41b7-92bd-eff21eb2437c,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Perscheid - Ebene: Perscheid,http://www.daten.rlp.de/dataset/c42d596c-e864-492c-ad1e-a1ba0ecf0756,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Auf der Schanz,http://www.daten.rlp.de/dataset/b8877ad2-5d7f-4338-8df6-8bf94232e92f,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Wiebelsheim - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/73710ef5-f090-4876-82a7-a8227b4d5d1d,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,Perscheid - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/c03bd1c2-c0b1-4b36-9d5d-b53bfcb89bba,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Perscheid - Ebene: Ergänzungssatzung Römerstraße,http://www.daten.rlp.de/dataset/dcd05916-a0d3-46e8-99da-a892944f966d,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sankt Goar - Ebene: Gegenüber der Loreley,http://www.daten.rlp.de/dataset/ce94b695-5c7d-4feb-b54a-369920dffeb7,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
