Quelle,Stadt,Dateibezeichnung,Format,Beschreibung,Zeitlicher Bezug,Lizenz,Kosten,Veröffentlichende Stelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert,keyword,URL
d,wennigsen.net,Muellabfuhrgebuehren.csv,CSV,Müllabfuhrgebühr,2002-2012,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,,,,,,,,,,,,x,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_Muellabfuhrgebuehren.csv
d,wennigsen.net,oeffentl_geb.csv,CSV,öffentliche Gebäude,2013,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,,x,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_oeffentl_geb.csv
d,wennigsen.net,Vergnuegungssteuer.csv,CSV,Vermögenssteuer,2002-2012,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,x,,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_Vergnuegungssteuer.csv
d,wennigsen.net,sitzungen_gremien.csv,CSV,Gremien Sitzungen,2002-2012,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,,,,,,,,,,,,,x,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_sitzungen_gremien.csv
d,wennigsen.net,Fahrradstellplaetze.csv,CSV,Fahrradstellplätze,2013,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,,,,,,,,,,,x,,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_Fahrradstellplaetze.csv
d,wennigsen.net,Gruene_Kette.gpx,GPX,,2013,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,,,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/Gruene_Kette.gpx
d,wennigsen.net,Verwaltungshaushalt.csv,CSV,Verwaltungshaushalt,2002-2010,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,x,,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_Verwaltungshaushalt.csv
d,wennigsen.net,einwohner.csv,CSV,Einwohnerdaten,1940-2012,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,x,,,,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_einwohner.csv
d,wennigsen.net,Hundesteuer.csv,CSV,Hundesteuer (jährlich),2002-2012,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,x,,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_Hundesteuer.csv
d,wennigsen.net,Vermoegenshaushalt.csv,CSV,Vermögenshaushalt,2002-2010,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,x,,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_Vermoegenshaushalt.csv
