Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,x,,,,,,,"Langzeitzählstelle auf der A 61 in AS Worms, VQ Nord",http://www.daten.rlp.de/dataset/690117af-9ecb-4def-9bdd-9c52e87b8475,dl-de-by-1.0,PDF,d
,,,,,,,,,x,,,,,,,Langzeitzählstelle auf der B 47 in Rheinbrücke Worms,http://www.daten.rlp.de/dataset/830f0d42-7804-45e4-8f0b-b7d525edfdc5,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaft, kreisfreie Stadt Worms –",http://www.daten.rlp.de/dataset/8420b712-6d05-4d82-8a9c-c0900eaac281,dl-de-by-1.0,PDF,d
,,,,,,,,,x,,,,,,,Langzeitzählstelle auf der B 9 in Worms,http://www.daten.rlp.de/dataset/4abbe496-d917-4da2-85d4-795ab86a360f,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, kreisfreie Stadt Worms -",http://www.daten.rlp.de/dataset/c7e5bd14-0d7b-4625-ba33-22f5950a566f,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Datenkompass – Bevölkerung und Gebiet, Haushalte und Familien, kreisfreie Stadt Worms –",http://www.daten.rlp.de/dataset/5fb8db5e-02f3-4a07-9a9e-9e5463c72fd7,dl-de-by-1.0,PDF,d
,,,,x,,,,x,,,,,,,,"Datenkompass – Soziales und Gesundheit, kreisfreie Stadt Worms –",http://www.daten.rlp.de/dataset/53de44d3-2004-47c6-9c31-2c20ccadeee1,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Arbeitsmarkt, Erwerbstätigkeit, kreisfreie Stadt Worms –",http://www.daten.rlp.de/dataset/d89563ed-2870-408e-b0de-3eb6bce267fd,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaftliche Entwicklungspotenziale, kreisfreie Stadt Worms –",http://www.daten.rlp.de/dataset/4478d061-a5d5-404d-83d1-65d54d37ec69,dl-de-by-1.0,PDF,d
,,,,,,x,,,,,,,,,,"Datenkompass – Tourismus, kreisfreie Stadt Worms –",http://www.daten.rlp.de/dataset/84e49bd3-1f35-4c1b-9059-ced1eaf7b706,dl-de-by-1.0,PDF,d
,x,,,,,,,,,,,,,,,"Datenkompass – Erziehung und Bildung, kreisfreie Stadt Worms –",http://www.daten.rlp.de/dataset/9d161b02-12a9-4444-8037-6ff94dac104a,dl-de-by-1.0,PDF,d
