Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/2560d578-a359-446b-8ebe-a8d88164aa38,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: NA 24 Rapsmühle,http://www.daten.rlp.de/dataset/8c92f41d-d140-4254-9c22-c6974b4a00cb,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: RI 12 Zwischen Vogesenstrasse und Pfalzstrasse Teiländerung 1,http://www.daten.rlp.de/dataset/33b8ff6d-1e92-4985-a21d-9e5b9393305e,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,x,,,,,,,,,,,"Zweibrücken - Ebene: IX 17 Am Etzelweg, Gewergebeiet Süd Teiländerung 2",http://www.daten.rlp.de/dataset/fd5a1bfb-1ff5-4989-9482-3fa2b63fd20c,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
x,,,,,,,,,,,,,,,,"Datenkompass – Bevölkerung und Gebiet, Haushalte und Familien, kreisfreie Stadt Zweibrücken –",http://www.daten.rlp.de/dataset/46b71f25-ec87-4cda-b2c9-b79d74cbbebe,dl-de-by-1.0,PDF,d
,,x,,,x,,,,,,,,,,,"Zweibrücken - Ebene: ZW 124 Fortf. Südtangente - Anschluss Bahnhof, 1. Änderung",http://www.daten.rlp.de/dataset/dbb32f01-b221-4d10-a6e0-980721518b75,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, kreisfreie Stadt Zweibrücken -",http://www.daten.rlp.de/dataset/46c57872-9a91-4e5b-bad3-f0d7133ad905,dl-de-by-1.0,PDF,d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: ZW 78 Hilgard-Center Änderungsplan 1,http://www.daten.rlp.de/dataset/ff124368-cf78-4633-813d-56d351aebcef,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: Umringe der Bebauungspläne von Zweibrücken,http://www.daten.rlp.de/dataset/c3b7317d-95c5-4a49-9dbc-745732e5d972,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,,,,,x,,,,,,,,,,"Datenkompass – Tourismus, kreisfreie Stadt Zweibrücken –",http://www.daten.rlp.de/dataset/29c5cee9-4b00-4a74-af5f-e37ea078db27,dl-de-by-1.0,PDF,d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: ZW 78 Hilgard-Center,http://www.daten.rlp.de/dataset/0c1d1e91-8130-4316-8c40-2d4e365a7369,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,,,x,,,,x,,,,,,,,"Datenkompass – Soziales und Gesundheit, kreisfreie Stadt Zweibrücken –",http://www.daten.rlp.de/dataset/42176ac6-ec31-4a43-835b-02ecc156bde4,dl-de-by-1.0,PDF,d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: ZW 66 Ehemalige Stadtgaertnerei,http://www.daten.rlp.de/dataset/bb8ba10d-df76-47d5-95b2-2dd389a97dd0,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: ZW 0 Innenstadt Aenderung 1,http://www.daten.rlp.de/dataset/deaf73ee-100a-46c4-942b-e9b636f845fb,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: ZW 157 Campingplatz Biergarten,http://www.daten.rlp.de/dataset/4d6242f3-2371-446a-9492-2372877632b3,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: MÖ 15 Im Hanfgarten,http://www.daten.rlp.de/dataset/290ab11b-8f64-4f7a-b309-e6a54e9313d2,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: NA 11 Sechs Morgen Änderung 2 Teiländerung 5,http://www.daten.rlp.de/dataset/6479f0d6-c490-41c2-bb5e-a406c5d64772,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: OA 18 Bei der Kreuzung,http://www.daten.rlp.de/dataset/66e52fde-e67f-43af-bbbd-e9e576be010c,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: WA 15 Außenbereichssatzung Mölschbergerhof,http://www.daten.rlp.de/dataset/fe832e27-d95c-4a4c-b3dc-89fb03435341,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: NA 11 Sechs Morgen Änderung 2 Teiländerung 4,http://www.daten.rlp.de/dataset/d6c3031a-a3fa-4f8b-b077-da7511999f18,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,x,,,,,,,,,,,Zweibrücken - Ebene: ZW 74 Östlich der Lanzstrasse,http://www.daten.rlp.de/dataset/2610e5e8-6ffb-46f7-a341-d2802c1d6f32,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
